Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 11:25:00, $126.26, BUY, $99,873.74, $126.26, $0.00, $0.00
2021-05-19 11:30:00, $126.22, SELL, $99,999.96, $0.00, $-0.04, $-0.04
2021-05-19 11:35:00, $126.18, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-19 11:40:00, $126.17, SELL, $99,999.96, $0.00, $0.00, $-0.04
2021-05-19 11:45:00, $126.07, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-19 11:50:00, $126.06, SELL, $99,999.96, $0.00, $0.00, $-0.04
2021-05-19 11:55:00, $126.22, BUY, $99,873.74, $126.22, $0.00, $-0.04
2021-05-19 12:00:00, $126.51, HOLD, $99,873.74, $126.22, $0.00, $-0.04
2021-05-19 12:05:00, $126.60, BUY, $99,747.14, $252.82, $0.00, $-0.04
2021-05-19 12:10:00, $126.54, SELL, $100,000.21, $0.00, $-0.06, $0.21
2021-05-19 12:15:00, $126.59, BUY, $99,873.62, $126.59, $0.00, $0.21
2021-05-19 12:20:00, $126.59, HOLD, $99,873.62, $126.59, $0.00, $0.21
2021-05-19 12:25:00, $126.56, SELL, $100,000.18, $0.00, $-0.03, $0.18
2021-05-19 12:30:00, $126.61, BUY, $99,873.57, $126.61, $0.00, $0.18
2021-05-19 12:35:00, $126.64, HOLD, $99,873.57, $126.61, $0.00, $0.18
2021-05-19 12:40:00, $126.75, BUY, $99,746.82, $253.36, $0.00, $0.18
2021-05-19 12:45:00, $126.60, SELL, $100,000.02, $0.00, $-0.16, $0.02
2021-05-19 12:50:00, $126.45, HOLD, $100,000.02, $0.00, $0.00, $0.02
2021-05-19 12:55:00, $126.28, SELL, $100,000.02, $0.00, $0.00, $0.02
2021-05-19 13:00:00, $126.16, HOLD, $100,000.02, $0.00, $0.00, $0.02
2021-05-19 13:05:00, $126.10, SELL, $100,000.02, $0.00, $0.00, $0.02
2021-05-19 13:10:00, $126.49, BUY, $99,873.52, $126.49, $0.00, $0.02
2021-05-19 13:15:00, $126.82, HOLD, $99,873.52, $126.49, $0.00, $0.02
2021-05-19 13:20:00, $127.02, BUY, $99,746.51, $253.51, $0.00, $0.02
2021-05-19 13:25:00, $126.67, SELL, $99,999.85, $0.00, $-0.35, $-0.15
2021-05-19 13:30:00, $126.43, HOLD, $99,999.85, $0.00, $0.00, $-0.15
2021-05-19 13:35:00, $126.33, SELL, $99,999.85, $0.00, $0.00, $-0.15
2021-05-19 13:40:00, $126.39, BUY, $99,873.46, $126.39, $0.00, $-0.15
2021-05-19 13:45:00, $126.31, SELL, $99,999.77, $0.00, $-0.08, $-0.23
2021-05-19 13:50:00, $126.17, HOLD, $99,999.77, $0.00, $0.00, $-0.23
2021-05-19 13:55:00, $126.04, SELL, $99,999.77, $0.00, $0.00, $-0.23
2021-05-19 14:00:00, $126.15, BUY, $99,873.62, $126.15, $0.00, $-0.23
2021-05-19 14:05:00, $126.25, HOLD, $99,873.62, $126.15, $0.00, $-0.23
2021-05-19 14:10:00, $126.33, BUY, $99,747.29, $252.48, $0.00, $-0.23
2021-05-19 14:15:00, $126.31, SELL, $99,999.91, $0.00, $-0.02, $-0.09
2021-05-19 14:20:00, $126.32, BUY, $99,873.59, $126.32, $0.00, $-0.09
2021-05-19 14:25:00, $126.31, SELL, $99,999.90, $0.00, $-0.02, $-0.10
2021-05-19 14:30:00, $126.22, HOLD, $99,999.90, $0.00, $0.00, $-0.10
2021-05-19 14:35:00, $126.19, SELL, $99,999.90, $0.00, $0.00, $-0.10
2021-05-19 14:40:00, $126.36, BUY, $99,873.53, $126.36, $0.00, $-0.10
2021-05-19 14:45:00, $126.71, HOLD, $99,873.53, $126.36, $0.00, $-0.10
2021-05-19 14:50:00, $127.56, BUY, $99,745.97, $253.92, $0.00, $-0.10
2021-05-19 14:55:00, $128.33, HOLD, $99,745.97, $253.92, $0.00, $-0.10
2021-05-20 08:30:00, $129.10, BUY, $99,616.87, $383.03, $0.00, $-0.10
2021-05-20 08:35:00, $129.35, HOLD, $99,616.87, $383.03, $0.00, $-0.10
2021-05-20 08:40:00, $129.45, BUY, $99,487.41, $512.48, $0.00, $-0.10
2021-05-20 08:45:00, $129.47, HOLD, $99,487.41, $512.48, $0.00, $-0.10
2021-05-20 08:50:00, $129.75, BUY, $99,357.66, $642.23, $0.00, $-0.10
2021-05-20 08:55:00, $130.08, HOLD, $99,357.66, $642.23, $0.00, $-0.10
2021-05-20 09:00:00, $130.53, BUY, $99,227.13, $772.77, $0.00, $-0.10
2021-05-20 09:05:00, $131.04, HOLD, $99,227.13, $772.77, $0.00, $-0.10
2021-05-20 09:10:00, $131.68, BUY, $99,095.44, $904.45, $0.00, $-0.10
2021-05-20 09:15:00, $132.22, HOLD, $99,095.44, $904.45, $0.00, $-0.10
2021-05-20 09:20:00, $132.46, BUY, $98,962.98, $1,036.91, $0.00, $-0.10
2021-05-20 09:25:00, $132.37, SELL, $100,021.94, $0.00, $-0.09, $21.94
2021-05-20 09:30:00, $132.50, BUY, $99,889.44, $132.50, $0.00, $21.94
2021-05-20 09:35:00, $132.44, SELL, $100,021.88, $0.00, $-0.06, $21.88
2021-05-20 09:40:00, $132.65, BUY, $99,889.24, $132.65, $0.00, $21.88
2021-05-20 09:45:00, $132.49, SELL, $100,021.73, $0.00, $-0.16, $21.73
2021-05-20 09:50:00, $132.35, HOLD, $100,021.73, $0.00, $0.00, $21.73
2021-05-20 09:55:00, $131.94, SELL, $100,021.73, $0.00, $0.00, $21.73
2021-05-20 10:00:00, $131.86, HOLD, $100,021.73, $0.00, $0.00, $21.73
2021-05-20 10:05:00, $132.03, BUY, $99,889.69, $132.03, $0.00, $21.73
2021-05-20 10:10:00, $132.35, HOLD, $99,889.69, $132.03, $0.00, $21.73
2021-05-20 10:15:00, $132.43, BUY, $99,757.27, $264.46, $0.00, $21.73
2021-05-20 10:20:00, $132.08, SELL, $100,021.43, $0.00, $-0.34, $21.43
2021-05-20 10:25:00, $131.77, HOLD, $100,021.43, $0.00, $0.00, $21.43
2021-05-20 10:30:00, $131.28, SELL, $100,021.43, $0.00, $0.00, $21.43
2021-05-20 10:35:00, $131.19, HOLD, $100,021.43, $0.00, $0.00, $21.43
2021-05-20 10:40:00, $131.17, SELL, $100,021.43, $0.00, $0.00, $21.43
2021-05-20 10:45:00, $131.28, BUY, $99,890.16, $131.28, $0.00, $21.43
2021-05-20 10:50:00, $131.25, SELL, $100,021.41, $0.00, $-0.03, $21.41
2021-05-20 10:55:00, $131.15, HOLD, $100,021.41, $0.00, $0.00, $21.41
2021-05-20 11:00:00, $130.97, SELL, $100,021.41, $0.00, $0.00, $21.41
2021-05-20 11:05:00, $130.98, BUY, $99,890.43, $130.98, $0.00, $21.41
2021-05-20 11:10:00, $130.96, SELL, $100,021.39, $0.00, $-0.02, $21.39
2021-05-20 11:15:00, $131.03, BUY, $99,890.35, $131.03, $0.00, $21.39
2021-05-20 11:20:00, $130.88, SELL, $100,021.23, $0.00, $-0.16, $21.23
2021-05-20 11:25:00, $130.70, HOLD, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:30:00, $130.51, SELL, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:35:00, $130.44, HOLD, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:40:00, $130.39, SELL, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:45:00, $130.38, HOLD, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:50:00, $130.32, SELL, $100,021.23, $0.00, $0.00, $21.23
2021-05-20 11:55:00, $130.38, BUY, $99,890.85, $130.38, $0.00, $21.23
2021-05-20 12:00:00, $130.51, HOLD, $99,890.85, $130.38, $0.00, $21.23
2021-05-20 12:05:00, $130.71, BUY, $99,760.14, $261.09, $0.00, $21.23
2021-05-20 12:10:00, $130.87, HOLD, $99,760.14, $261.09, $0.00, $21.23
2021-05-20 12:15:00, $130.96, BUY, $99,629.18, $392.05, $0.00, $21.23
2021-05-20 12:20:00, $131.09, HOLD, $99,629.18, $392.05, $0.00, $21.23
2021-05-20 12:25:00, $131.10, BUY, $99,498.08, $523.15, $0.00, $21.23
2021-05-20 12:30:00, $131.02, SELL, $100,022.17, $0.00, $-0.08, $22.17
2021-05-20 12:35:00, $130.95, HOLD, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 12:40:00, $130.87, SELL, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 12:45:00, $130.85, HOLD, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 12:50:00, $130.75, SELL, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 12:55:00, $130.73, HOLD, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 13:00:00, $130.70, SELL, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 13:05:00, $130.67, HOLD, $100,022.17, $0.00, $0.00, $22.17
2021-05-20 13:10:00, $130.71, BUY, $99,891.46, $130.71, $0.00, $22.17
2021-05-20 13:15:00, $130.73, HOLD, $99,891.46, $130.71, $0.00, $22.17
2021-05-20 13:20:00, $130.76, BUY, $99,760.70, $261.47, $0.00, $22.17
2021-05-20 13:25:00, $130.75, SELL, $100,022.21, $0.00, $-0.01, $22.21
2021-05-20 13:30:00, $130.75, HOLD, $100,022.21, $0.00, $0.00, $22.21
2021-05-20 13:35:00, $130.82, BUY, $99,891.39, $130.82, $0.00, $22.21
2021-05-20 13:40:00, $130.95, HOLD, $99,891.39, $130.82, $0.00, $22.21
2021-05-20 13:45:00, $131.22, BUY, $99,760.17, $262.04, $0.00, $22.21
2021-05-20 13:50:00, $131.37, HOLD, $99,760.17, $262.04, $0.00, $22.21
2021-05-20 13:55:00, $131.44, BUY, $99,628.73, $393.48, $0.00, $22.21
2021-05-20 14:00:00, $131.45, HOLD, $99,628.73, $393.48, $0.00, $22.21
2021-05-20 14:05:00, $131.58, BUY, $99,497.15, $525.06, $0.00, $22.21
2021-05-20 14:10:00, $131.70, HOLD, $99,497.15, $525.06, $0.00, $22.21
2021-05-20 14:15:00, $131.76, BUY, $99,365.39, $656.82, $0.00, $22.21
2021-05-20 14:20:00, $131.76, BUY, $99,233.63, $788.58, $0.00, $22.21
2021-05-20 14:25:00, $131.71, SELL, $100,023.90, $0.00, $-0.05, $23.90
2021-05-20 14:30:00, $131.72, BUY, $99,892.18, $131.72, $0.00, $23.90
2021-05-20 14:35:00, $131.74, HOLD, $99,892.18, $131.72, $0.00, $23.90
2021-05-20 14:40:00, $131.67, SELL, $100,023.85, $0.00, $-0.05, $23.85
2021-05-20 14:45:00, $131.44, HOLD, $100,023.85, $0.00, $0.00, $23.85
2021-05-20 14:50:00, $131.28, SELL, $100,023.85, $0.00, $0.00, $23.85
2021-05-20 14:55:00, $130.66, HOLD, $100,023.85, $0.00, $0.00, $23.85
2021-05-21 08:30:00, $130.56, SELL, $100,023.85, $0.00, $0.00, $23.85
2021-05-21 08:35:00, $130.66, BUY, $99,893.18, $130.66, $0.00, $23.85
2021-05-21 08:40:00, $131.35, HOLD, $99,893.18, $130.66, $0.00, $23.85
2021-05-21 08:45:00, $131.43, BUY, $99,761.75, $262.10, $0.00, $23.85
2021-05-21 08:50:00, $131.40, SELL, $100,024.55, $0.00, $-0.03, $24.55
2021-05-21 08:55:00, $130.99, HOLD, $100,024.55, $0.00, $0.00, $24.55
2021-05-21 09:00:00, $130.69, SELL, $100,024.55, $0.00, $0.00, $24.55
2021-05-21 09:05:00, $130.04, HOLD, $100,024.55, $0.00, $0.00, $24.55
2021-05-21 09:10:00, $130.23, BUY, $99,894.32, $130.23, $0.00, $24.55
2021-05-21 09:15:00, $130.81, HOLD, $99,894.32, $130.23, $0.00, $24.55
2021-05-21 09:20:00, $131.48, BUY, $99,762.83, $261.71, $0.00, $24.55
2021-05-21 09:25:00, $131.37, SELL, $100,025.58, $0.00, $-0.11, $25.58
2021-05-21 09:30:00, $131.00, HOLD, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 09:35:00, $130.61, SELL, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 09:40:00, $130.57, HOLD, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 09:45:00, $130.50, SELL, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 09:50:00, $130.46, HOLD, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 09:55:00, $130.40, SELL, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 10:00:00, $130.26, HOLD, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 10:05:00, $130.16, SELL, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 10:10:00, $130.08, HOLD, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 10:15:00, $130.02, SELL, $100,025.58, $0.00, $0.00, $25.58
2021-05-21 10:20:00, $130.05, BUY, $99,895.53, $130.05, $0.00, $25.58
2021-05-21 10:25:00, $130.07, HOLD, $99,895.53, $130.05, $0.00, $25.58
2021-05-21 10:30:00, $130.29, BUY, $99,765.24, $260.33, $0.00, $25.58
2021-05-21 10:35:00, $130.32, HOLD, $99,765.24, $260.33, $0.00, $25.58
2021-05-21 10:40:00, $130.22, SELL, $100,025.69, $0.00, $-0.06, $25.69
2021-05-21 10:45:00, $130.02, HOLD, $100,025.69, $0.00, $0.00, $25.69
2021-05-21 10:50:00, $129.96, SELL, $100,025.69, $0.00, $0.00, $25.69
2021-05-21 10:55:00, $129.88, HOLD, $100,025.69, $0.00, $0.00, $25.69
2021-05-21 11:00:00, $129.85, SELL, $100,025.69, $0.00, $0.00, $25.69
2021-05-21 11:05:00, $129.86, BUY, $99,895.84, $129.86, $0.00, $25.69
2021-05-21 11:10:00, $129.91, HOLD, $99,895.84, $129.86, $0.00, $25.69
2021-05-21 11:15:00, $129.95, BUY, $99,765.89, $259.80, $0.00, $25.69
2021-05-21 11:20:00, $129.95, HOLD, $99,765.89, $259.80, $0.00, $25.69
2021-05-21 11:25:00, $130.02, BUY, $99,635.87, $389.82, $0.00, $25.69
2021-05-21 11:30:00, $130.01, SELL, $100,025.91, $0.00, $-0.01, $25.91
2021-05-21 11:35:00, $129.91, HOLD, $100,025.91, $0.00, $0.00, $25.91
2021-05-21 11:40:00, $129.71, SELL, $100,025.91, $0.00, $0.00, $25.91
2021-05-21 11:45:00, $129.66, HOLD, $100,025.91, $0.00, $0.00, $25.91
2021-05-21 11:50:00, $129.69, BUY, $99,896.22, $129.69, $0.00, $25.91
2021-05-21 11:55:00, $129.81, HOLD, $99,896.22, $129.69, $0.00, $25.91
2021-05-21 12:00:00, $129.71, SELL, $100,025.93, $0.00, $0.02, $25.93
2021-05-21 12:05:00, $129.60, HOLD, $100,025.93, $0.00, $0.00, $25.93
2021-05-21 12:10:00, $129.60, BUY, $99,896.32, $129.60, $0.00, $25.93
2021-05-21 12:15:00, $129.74, HOLD, $99,896.32, $129.60, $0.00, $25.93
2021-05-21 12:20:00, $129.90, BUY, $99,766.43, $259.50, $0.00, $25.93
2021-05-21 12:25:00, $129.89, SELL, $100,026.21, $0.00, $-0.01, $26.21
2021-05-21 12:30:00, $129.89, BUY, $99,896.31, $129.89, $0.00, $26.21
2021-05-21 12:35:00, $129.85, SELL, $100,026.16, $0.00, $-0.04, $26.16
2021-05-21 12:40:00, $129.88, BUY, $99,896.29, $129.88, $0.00, $26.16
2021-05-21 12:45:00, $129.87, SELL, $100,026.15, $0.00, $-0.01, $26.15
2021-05-21 12:50:00, $129.80, HOLD, $100,026.15, $0.00, $0.00, $26.15
2021-05-21 12:55:00, $129.71, SELL, $100,026.15, $0.00, $0.00, $26.15
2021-05-21 13:00:00, $129.66, HOLD, $100,026.15, $0.00, $0.00, $26.15
2021-05-21 13:05:00, $129.71, BUY, $99,896.44, $129.71, $0.00, $26.15
2021-05-21 13:10:00, $129.73, HOLD, $99,896.44, $129.71, $0.00, $26.15
2021-05-21 13:15:00, $129.68, SELL, $100,026.12, $0.00, $-0.03, $26.12
2021-05-21 13:20:00, $129.59, HOLD, $100,026.12, $0.00, $0.00, $26.12
2021-05-21 13:25:00, $129.55, SELL, $100,026.12, $0.00, $0.00, $26.12
