Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $141.26, BUY, $99,858.74, $141.26, $0.00, $0.00
2020-11-24 23:00:00, $139.54, SELL, $99,998.28, $0.00, $-1.72, $-1.72
2020-11-26 23:00:00, $139.76, BUY, $99,858.52, $139.76, $0.00, $-1.72
2020-11-29 23:00:00, $139.76, BUY, $99,718.76, $279.52, $0.00, $-1.72
2020-11-30 23:00:00, $141.90, HOLD, $99,718.76, $279.52, $0.00, $-1.72
2020-12-01 23:00:00, $145.19, BUY, $99,573.57, $424.71, $0.00, $-1.72
2020-12-02 23:00:00, $146.09, HOLD, $99,573.57, $424.71, $0.00, $-1.72
2020-12-03 23:00:00, $150.23, BUY, $99,423.34, $574.94, $0.00, $-1.72
2020-12-06 23:00:00, $150.63, HOLD, $99,423.34, $574.94, $0.00, $-1.72
2020-12-07 23:00:00, $153.11, BUY, $99,270.23, $728.05, $0.00, $-1.72
2020-12-08 23:00:00, $149.80, SELL, $100,019.25, $0.00, $-3.31, $19.25
2020-12-09 23:00:00, $147.97, HOLD, $100,019.25, $0.00, $0.00, $19.25
2020-12-10 23:00:00, $143.92, SELL, $100,019.25, $0.00, $0.00, $19.25
2020-12-13 23:00:00, $143.13, HOLD, $100,019.25, $0.00, $0.00, $19.25
2020-12-14 23:00:00, $145.74, BUY, $99,873.51, $145.74, $0.00, $19.25
2020-12-15 23:00:00, $148.28, HOLD, $99,873.51, $145.74, $0.00, $19.25
2020-12-16 23:00:00, $148.84, BUY, $99,724.66, $294.58, $0.00, $19.25
2020-12-17 23:00:00, $145.20, SELL, $100,015.06, $0.00, $-3.64, $15.06
2020-12-20 23:00:00, $142.08, HOLD, $100,015.06, $0.00, $0.00, $15.06
2020-12-21 23:00:00, $144.00, BUY, $99,871.06, $144.00, $0.00, $15.06
2020-12-22 23:00:00, $145.61, HOLD, $99,871.06, $144.00, $0.00, $15.06
2020-12-23 23:00:00, $154.33, BUY, $99,716.74, $298.33, $0.00, $15.06
2020-12-27 23:00:00, $163.12, HOLD, $99,716.74, $298.33, $0.00, $15.06
2020-12-28 23:00:00, $174.40, BUY, $99,542.34, $472.72, $0.00, $15.06
2020-12-29 23:00:00, $174.53, HOLD, $99,542.34, $472.72, $0.00, $15.06
2020-12-30 23:00:00, $177.22, BUY, $99,365.12, $649.95, $0.00, $15.06
