Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $110.42, BUY, $99,889.58, $110.42, $0.00, $0.00
2019-05-29 23:00:00, $108.89, SELL, $99,998.47, $0.00, $-1.53, $-1.53
2019-05-30 23:00:00, $108.00, HOLD, $99,998.47, $0.00, $0.00, $-1.53
2019-06-02 23:00:00, $108.34, BUY, $99,890.13, $108.34, $0.00, $-1.53
2019-06-03 23:00:00, $110.43, HOLD, $99,890.13, $108.34, $0.00, $-1.53
2019-06-04 23:00:00, $112.19, BUY, $99,777.94, $220.53, $0.00, $-1.53
2019-06-05 23:00:00, $113.81, HOLD, $99,777.94, $220.53, $0.00, $-1.53
2019-06-06 23:00:00, $114.75, BUY, $99,663.19, $335.28, $0.00, $-1.53
2019-06-09 23:00:00, $114.91, HOLD, $99,663.19, $335.28, $0.00, $-1.53
2019-06-10 23:00:00, $114.95, BUY, $99,548.24, $450.23, $0.00, $-1.53
2019-06-11 23:00:00, $115.46, HOLD, $99,548.24, $450.23, $0.00, $-1.53
2019-06-12 23:00:00, $116.35, BUY, $99,431.89, $566.58, $0.00, $-1.53
2019-06-13 23:00:00, $116.43, HOLD, $99,431.89, $566.58, $0.00, $-1.53
2019-06-16 23:00:00, $116.75, BUY, $99,315.14, $683.33, $0.00, $-1.53
2019-06-17 23:00:00, $117.30, HOLD, $99,315.14, $683.33, $0.00, $-1.53
2019-06-18 23:00:00, $117.38, BUY, $99,197.76, $800.71, $0.00, $-1.53
2019-06-19 23:00:00, $117.17, SELL, $100,017.93, $0.00, $-0.21, $17.93
2019-06-20 23:00:00, $115.72, HOLD, $100,017.93, $0.00, $0.00, $17.93
2019-06-23 23:00:00, $115.03, SELL, $100,017.93, $0.00, $0.00, $17.93
2019-06-24 23:00:00, $114.09, HOLD, $100,017.93, $0.00, $0.00, $17.93
2019-06-25 23:00:00, $114.09, SELL, $100,017.93, $0.00, $0.00, $17.93
2019-06-26 23:00:00, $114.38, BUY, $99,903.55, $114.38, $0.00, $17.93
2019-06-27 23:00:00, $115.22, HOLD, $99,903.55, $114.38, $0.00, $17.93
2019-06-30 23:00:00, $116.29, BUY, $99,787.27, $230.66, $0.00, $17.93
2019-07-01 23:00:00, $117.00, HOLD, $99,787.27, $230.66, $0.00, $17.93
2019-07-02 23:00:00, $117.25, BUY, $99,670.01, $347.92, $0.00, $17.93
2019-07-04 23:00:00, $117.49, HOLD, $99,670.01, $347.92, $0.00, $17.93
2019-07-07 23:00:00, $118.32, BUY, $99,551.69, $466.24, $0.00, $17.93
2019-07-08 23:00:00, $119.55, HOLD, $99,551.69, $466.24, $0.00, $17.93
2019-07-09 23:00:00, $120.14, BUY, $99,431.56, $586.37, $0.00, $17.93
2019-07-10 23:00:00, $120.56, HOLD, $99,431.56, $586.37, $0.00, $17.93
2019-07-11 23:00:00, $120.25, SELL, $100,032.79, $0.00, $0.11, $32.79
2019-07-14 23:00:00, $119.80, HOLD, $100,032.79, $0.00, $0.00, $32.79
2019-07-15 23:00:00, $119.46, SELL, $100,032.79, $0.00, $0.00, $32.79
2019-07-16 23:00:00, $119.10, HOLD, $100,032.79, $0.00, $0.00, $32.79
2019-07-17 23:00:00, $119.06, SELL, $100,032.79, $0.00, $0.00, $32.79
2019-07-18 23:00:00, $119.19, BUY, $99,913.60, $119.19, $0.00, $32.79
2019-07-21 23:00:00, $120.06, HOLD, $99,913.60, $119.19, $0.00, $32.79
2019-07-22 23:00:00, $118.86, SELL, $100,032.45, $0.00, $-0.34, $32.45
