Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 09:44:00, $133.87, BUY, $99,866.13, $133.87, $0.00, $0.00
2021-05-25 09:45:00, $133.90, HOLD, $99,866.13, $133.87, $0.00, $0.00
2021-05-25 09:46:00, $133.93, BUY, $99,732.20, $267.80, $0.00, $0.00
2021-05-25 09:47:00, $133.96, HOLD, $99,732.20, $267.80, $0.00, $0.00
2021-05-25 09:48:00, $134.00, BUY, $99,598.20, $401.80, $0.00, $0.00
2021-05-25 09:49:00, $134.06, HOLD, $99,598.20, $401.80, $0.00, $0.00
2021-05-25 09:51:00, $134.09, BUY, $99,464.10, $535.90, $0.00, $0.00
2021-05-25 09:52:00, $134.11, HOLD, $99,464.10, $535.90, $0.00, $0.00
2021-05-25 09:53:00, $134.14, BUY, $99,329.96, $670.03, $0.00, $0.00
2021-05-25 09:54:00, $134.17, HOLD, $99,329.96, $670.03, $0.00, $0.00
2021-05-25 09:55:00, $134.21, BUY, $99,195.76, $804.24, $0.00, $0.00
2021-05-25 09:56:00, $134.19, SELL, $100,000.92, $0.00, $-0.01, $0.92
2021-05-25 09:57:00, $134.22, BUY, $99,866.70, $134.22, $0.00, $0.92
2021-05-25 09:58:00, $134.16, SELL, $100,000.86, $0.00, $-0.06, $0.86
2021-05-25 09:59:00, $134.14, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:00:00, $134.07, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:02:00, $133.96, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:03:00, $133.82, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:04:00, $133.75, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:05:00, $133.70, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:06:00, $133.69, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:07:00, $133.59, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 10:09:00, $133.60, BUY, $99,867.26, $133.60, $0.00, $0.86
2021-05-25 10:10:00, $133.58, SELL, $100,000.83, $0.00, $-0.03, $0.83
2021-05-25 10:11:00, $133.62, BUY, $99,867.21, $133.62, $0.00, $0.83
2021-05-25 10:13:00, $133.49, SELL, $100,000.70, $0.00, $-0.13, $0.70
2021-05-25 10:14:00, $133.36, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-25 10:15:00, $133.22, SELL, $100,000.70, $0.00, $0.00, $0.70
2021-05-25 10:16:00, $133.15, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-25 10:17:00, $133.11, SELL, $100,000.70, $0.00, $0.00, $0.70
2021-05-25 10:18:00, $133.06, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-25 10:19:00, $133.10, BUY, $99,867.60, $133.10, $0.00, $0.70
2021-05-25 10:20:00, $133.16, HOLD, $99,867.60, $133.10, $0.00, $0.70
2021-05-25 10:21:00, $133.20, BUY, $99,734.40, $266.31, $0.00, $0.70
2021-05-25 10:22:00, $133.22, HOLD, $99,734.40, $266.31, $0.00, $0.70
