Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-24 23:00:00, $58.86, BUY, $99,941.14, $58.86, $0.00, $0.00
2018-05-28 23:00:00, $58.25, SELL, $99,999.39, $0.00, $-0.61, $-0.61
2018-05-29 23:00:00, $58.37, BUY, $99,941.02, $58.37, $0.00, $-0.61
2018-05-30 23:00:00, $58.47, HOLD, $99,941.02, $58.37, $0.00, $-0.61
2018-05-31 23:00:00, $58.76, BUY, $99,882.26, $117.13, $0.00, $-0.61
2018-06-03 23:00:00, $59.18, HOLD, $99,882.26, $117.13, $0.00, $-0.61
2018-06-04 23:00:00, $59.83, BUY, $99,822.43, $176.96, $0.00, $-0.61
2018-06-05 23:00:00, $60.25, HOLD, $99,822.43, $176.96, $0.00, $-0.61
2018-06-06 23:00:00, $60.28, BUY, $99,762.15, $237.24, $0.00, $-0.61
2018-06-07 23:00:00, $59.99, SELL, $100,002.12, $0.00, $-0.28, $2.12
2018-06-10 23:00:00, $59.65, HOLD, $100,002.12, $0.00, $0.00, $2.12
2018-06-11 23:00:00, $59.50, SELL, $100,002.12, $0.00, $0.00, $2.12
2018-06-12 23:00:00, $59.52, BUY, $99,942.60, $59.52, $0.00, $2.12
2018-06-13 23:00:00, $59.51, SELL, $100,002.11, $0.00, $-0.01, $2.11
2018-06-14 23:00:00, $59.26, HOLD, $100,002.11, $0.00, $0.00, $2.11
2018-06-17 23:00:00, $58.90, SELL, $100,002.11, $0.00, $0.00, $2.11
2018-06-18 23:00:00, $58.75, HOLD, $100,002.11, $0.00, $0.00, $2.11
2018-06-19 23:00:00, $58.68, SELL, $100,002.11, $0.00, $0.00, $2.11
2018-06-20 23:00:00, $58.10, HOLD, $100,002.11, $0.00, $0.00, $2.11
2018-06-21 23:00:00, $57.33, SELL, $100,002.11, $0.00, $0.00, $2.11
2018-06-24 23:00:00, $56.23, HOLD, $100,002.11, $0.00, $0.00, $2.11
2018-06-25 23:00:00, $55.85, SELL, $100,002.11, $0.00, $0.00, $2.11
2018-06-26 23:00:00, $55.74, HOLD, $100,002.11, $0.00, $0.00, $2.11
2018-06-27 23:00:00, $56.07, BUY, $99,946.04, $56.07, $0.00, $2.11
2018-06-28 23:00:00, $55.88, SELL, $100,001.92, $0.00, $-0.20, $1.92
2018-07-01 23:00:00, $56.29, BUY, $99,945.63, $56.29, $0.00, $1.92
2018-07-02 23:00:00, $56.84, HOLD, $99,945.63, $56.29, $0.00, $1.92
2018-07-04 23:00:00, $57.75, BUY, $99,887.87, $114.04, $0.00, $1.92
2018-07-05 23:00:00, $58.08, HOLD, $99,887.87, $114.04, $0.00, $1.92
2018-07-08 23:00:00, $57.91, SELL, $100,003.69, $0.00, $0.15, $3.69
2018-07-09 23:00:00, $58.00, BUY, $99,945.69, $58.00, $0.00, $3.69
2018-07-10 23:00:00, $58.01, HOLD, $99,945.69, $58.00, $0.00, $3.69
2018-07-11 23:00:00, $58.36, BUY, $99,887.33, $116.36, $0.00, $3.69
2018-07-12 23:00:00, $58.55, HOLD, $99,887.33, $116.36, $0.00, $3.69
2018-07-15 23:00:00, $58.68, BUY, $99,828.65, $175.03, $0.00, $3.69
2018-07-16 23:00:00, $59.00, HOLD, $99,828.65, $175.03, $0.00, $3.69
2018-07-17 23:00:00, $58.90, SELL, $100,005.35, $0.00, $0.22, $5.35
2018-07-18 23:00:00, $59.01, BUY, $99,946.35, $59.01, $0.00, $5.35
2018-07-19 23:00:00, $58.85, SELL, $100,005.20, $0.00, $-0.15, $5.20
2018-07-22 23:00:00, $59.12, BUY, $99,946.08, $59.12, $0.00, $5.20
2018-07-23 23:00:00, $60.62, HOLD, $99,946.08, $59.12, $0.00, $5.20
2018-07-24 23:00:00, $61.90, BUY, $99,884.18, $121.02, $0.00, $5.20
2018-07-25 23:00:00, $62.77, HOLD, $99,884.18, $121.02, $0.00, $5.20
2018-07-26 23:00:00, $62.94, BUY, $99,821.24, $183.96, $0.00, $5.20
2018-07-29 23:00:00, $63.50, HOLD, $99,821.24, $183.96, $0.00, $5.20
2018-07-30 23:00:00, $64.41, BUY, $99,756.83, $248.36, $0.00, $5.20
2018-07-31 23:00:00, $64.84, HOLD, $99,756.83, $248.36, $0.00, $5.20
2018-08-01 23:00:00, $65.30, BUY, $99,691.53, $313.66, $0.00, $5.20
2018-08-02 23:00:00, $65.52, HOLD, $99,691.53, $313.66, $0.00, $5.20
2018-08-05 23:00:00, $65.44, SELL, $100,018.72, $0.00, $0.14, $18.72
2018-08-06 23:00:00, $65.22, HOLD, $100,018.72, $0.00, $0.00, $18.72
2018-08-07 23:00:00, $65.02, SELL, $100,018.72, $0.00, $0.00, $18.72
2018-08-08 23:00:00, $64.92, HOLD, $100,018.72, $0.00, $0.00, $18.72
2018-08-09 23:00:00, $65.04, BUY, $99,953.68, $65.04, $0.00, $18.72
2018-08-12 23:00:00, $65.33, HOLD, $99,953.68, $65.04, $0.00, $18.72
2018-08-13 23:00:00, $65.64, BUY, $99,888.04, $130.68, $0.00, $18.72
2018-08-14 23:00:00, $65.85, HOLD, $99,888.04, $130.68, $0.00, $18.72
2018-08-15 23:00:00, $66.01, BUY, $99,822.03, $196.69, $0.00, $18.72
2018-08-16 23:00:00, $66.27, HOLD, $99,822.03, $196.69, $0.00, $18.72
2018-08-19 23:00:00, $66.53, BUY, $99,755.50, $263.22, $0.00, $18.72
2018-08-20 23:00:00, $66.76, HOLD, $99,755.50, $263.22, $0.00, $18.72
2018-08-21 23:00:00, $66.96, BUY, $99,688.54, $330.18, $0.00, $18.72
2018-08-22 23:00:00, $67.13, HOLD, $99,688.54, $330.18, $0.00, $18.72
2018-08-23 23:00:00, $68.09, BUY, $99,620.45, $398.27, $0.00, $18.72
2018-08-26 23:00:00, $68.77, HOLD, $99,620.45, $398.27, $0.00, $18.72
2018-08-27 23:00:00, $69.03, BUY, $99,551.42, $467.30, $0.00, $18.72
2018-08-28 23:00:00, $68.67, SELL, $100,032.11, $0.00, $-0.36, $32.11
2018-08-29 23:00:00, $68.93, BUY, $99,963.18, $68.93, $0.00, $32.11
2018-08-30 23:00:00, $69.85, HOLD, $99,963.18, $68.93, $0.00, $32.11
2018-09-03 23:00:00, $70.41, BUY, $99,892.77, $139.34, $0.00, $32.11
2018-09-04 23:00:00, $70.54, HOLD, $99,892.77, $139.34, $0.00, $32.11
2018-09-05 23:00:00, $71.01, BUY, $99,821.76, $210.35, $0.00, $32.11
2018-09-06 23:00:00, $71.73, HOLD, $99,821.76, $210.35, $0.00, $32.11
2018-09-09 23:00:00, $72.19, BUY, $99,749.56, $282.55, $0.00, $32.11
2018-09-10 23:00:00, $72.96, HOLD, $99,749.56, $282.55, $0.00, $32.11
2018-09-11 23:00:00, $73.82, BUY, $99,675.75, $356.36, $0.00, $32.11
2018-09-12 23:00:00, $74.32, HOLD, $99,675.75, $356.36, $0.00, $32.11
2018-09-13 23:00:00, $74.35, BUY, $99,601.40, $430.71, $0.00, $32.11
2018-09-16 23:00:00, $74.01, SELL, $100,045.44, $0.00, $-0.34, $45.44
2018-09-17 23:00:00, $74.46, BUY, $99,970.98, $74.46, $0.00, $45.44
2018-09-18 23:00:00, $74.12, SELL, $100,045.10, $0.00, $-0.34, $45.10
2018-09-19 23:00:00, $73.97, HOLD, $100,045.10, $0.00, $0.00, $45.10
2018-09-20 23:00:00, $73.34, SELL, $100,045.10, $0.00, $0.00, $45.10
2018-09-23 23:00:00, $72.70, HOLD, $100,045.10, $0.00, $0.00, $45.10
2018-09-24 23:00:00, $72.08, SELL, $100,045.10, $0.00, $0.00, $45.10
2018-09-25 23:00:00, $71.84, HOLD, $100,045.10, $0.00, $0.00, $45.10
2018-09-26 23:00:00, $72.12, BUY, $99,972.97, $72.12, $0.00, $45.10
2018-09-27 23:00:00, $72.67, HOLD, $99,972.97, $72.12, $0.00, $45.10
2018-09-30 23:00:00, $72.87, BUY, $99,900.10, $144.99, $0.00, $45.10
2018-10-01 23:00:00, $72.79, SELL, $100,045.69, $0.00, $-0.08, $45.69
2018-10-02 23:00:00, $72.07, HOLD, $100,045.69, $0.00, $0.00, $45.69
2018-10-03 23:00:00, $71.50, SELL, $100,045.69, $0.00, $0.00, $45.69
2018-10-04 23:00:00, $70.75, HOLD, $100,045.69, $0.00, $0.00, $45.69
2018-10-07 23:00:00, $69.27, SELL, $100,045.69, $0.00, $0.00, $45.69
2018-10-08 23:00:00, $67.06, HOLD, $100,045.69, $0.00, $0.00, $45.69
2018-10-09 23:00:00, $65.10, SELL, $100,045.69, $0.00, $0.00, $45.69
2018-10-10 23:00:00, $64.25, HOLD, $100,045.69, $0.00, $0.00, $45.69
2018-10-11 23:00:00, $64.85, BUY, $99,980.84, $64.85, $0.00, $45.69
2018-10-14 23:00:00, $65.46, HOLD, $99,980.84, $64.85, $0.00, $45.69
2018-10-15 23:00:00, $65.80, BUY, $99,915.04, $130.65, $0.00, $45.69
2018-10-16 23:00:00, $65.55, SELL, $100,046.14, $0.00, $-0.25, $46.14
2018-10-17 23:00:00, $65.54, HOLD, $100,046.14, $0.00, $0.00, $46.14
2018-10-18 23:00:00, $65.94, BUY, $99,980.20, $65.94, $0.00, $46.14
2018-10-21 23:00:00, $65.02, SELL, $100,045.23, $0.00, $-0.92, $45.23
2018-10-22 23:00:00, $64.06, HOLD, $100,045.23, $0.00, $0.00, $45.23
2018-10-23 23:00:00, $62.74, SELL, $100,045.23, $0.00, $0.00, $45.23
2018-10-24 23:00:00, $62.61, HOLD, $100,045.23, $0.00, $0.00, $45.23
2018-10-25 23:00:00, $62.61, HOLD, $100,045.23, $0.00, $0.00, $45.23
2018-10-28 23:00:00, $62.76, BUY, $99,982.47, $62.76, $0.00, $45.23
2018-10-29 23:00:00, $63.25, HOLD, $99,982.47, $62.76, $0.00, $45.23
2018-10-30 23:00:00, $63.29, BUY, $99,919.18, $126.05, $0.00, $45.23
2018-10-31 23:00:00, $63.50, HOLD, $99,919.18, $126.05, $0.00, $45.23
2018-11-01 23:00:00, $63.47, SELL, $100,046.12, $0.00, $0.18, $46.12
2018-11-04 23:00:00, $63.42, HOLD, $100,046.12, $0.00, $0.00, $46.12
2018-11-05 23:00:00, $61.62, SELL, $100,046.12, $0.00, $0.00, $46.12
2018-11-06 23:00:00, $59.31, HOLD, $100,046.12, $0.00, $0.00, $46.12
2018-11-07 23:00:00, $56.42, SELL, $100,046.12, $0.00, $0.00, $46.12
2018-11-08 23:00:00, $55.12, HOLD, $100,046.12, $0.00, $0.00, $46.12
2018-11-11 23:00:00, $54.20, SELL, $100,046.12, $0.00, $0.00, $46.12
2018-11-12 23:00:00, $54.50, BUY, $99,991.62, $54.50, $0.00, $46.12
2018-11-13 23:00:00, $55.07, HOLD, $99,991.62, $54.50, $0.00, $46.12
2018-11-14 23:00:00, $55.39, BUY, $99,936.23, $109.89, $0.00, $46.12
2018-11-15 23:00:00, $55.23, SELL, $100,046.69, $0.00, $-0.16, $46.69
2018-11-18 23:00:00, $55.03, HOLD, $100,046.69, $0.00, $0.00, $46.69
2018-11-19 23:00:00, $55.15, BUY, $99,991.54, $55.15, $0.00, $46.69
2018-11-20 23:00:00, $55.42, HOLD, $99,991.54, $55.15, $0.00, $46.69
2018-11-22 23:00:00, $55.52, BUY, $99,936.02, $110.67, $0.00, $46.69
2018-11-25 23:00:00, $56.00, HOLD, $99,936.02, $110.67, $0.00, $46.69
2018-11-26 23:00:00, $56.80, BUY, $99,879.22, $167.47, $0.00, $46.69
2018-11-27 23:00:00, $57.70, HOLD, $99,879.22, $167.47, $0.00, $46.69
2018-11-28 23:00:00, $58.51, BUY, $99,820.71, $225.98, $0.00, $46.69
2018-11-29 23:00:00, $58.39, SELL, $100,054.27, $0.00, $-0.12, $54.27
2018-12-02 23:00:00, $57.99, HOLD, $100,054.27, $0.00, $0.00, $54.27
2018-12-03 23:00:00, $56.95, SELL, $100,054.27, $0.00, $0.00, $54.27
2018-12-05 23:00:00, $56.77, HOLD, $100,054.27, $0.00, $0.00, $54.27
2018-12-06 23:00:00, $56.86, BUY, $99,997.40, $56.86, $0.00, $54.27
2018-12-09 23:00:00, $57.44, HOLD, $99,997.40, $56.86, $0.00, $54.27
2018-12-10 23:00:00, $57.72, BUY, $99,939.68, $114.59, $0.00, $54.27
2018-12-11 23:00:00, $57.81, HOLD, $99,939.68, $114.59, $0.00, $54.27
2018-12-12 23:00:00, $57.56, SELL, $100,054.80, $0.00, $-0.16, $54.80
2018-12-13 23:00:00, $57.46, HOLD, $100,054.80, $0.00, $0.00, $54.80
2018-12-16 23:00:00, $57.14, SELL, $100,054.80, $0.00, $0.00, $54.80
2018-12-17 23:00:00, $56.92, HOLD, $100,054.80, $0.00, $0.00, $54.80
2018-12-18 23:00:00, $55.96, SELL, $100,054.80, $0.00, $0.00, $54.80
2018-12-19 23:00:00, $54.96, HOLD, $100,054.80, $0.00, $0.00, $54.80
2018-12-20 23:00:00, $54.84, SELL, $100,054.80, $0.00, $0.00, $54.80
2018-12-23 23:00:00, $55.24, BUY, $99,999.56, $55.24, $0.00, $54.80
2018-12-25 23:00:00, $56.27, HOLD, $99,999.56, $55.24, $0.00, $54.80
2018-12-26 23:00:00, $56.49, BUY, $99,943.07, $111.73, $0.00, $54.80
2018-12-27 23:00:00, $56.91, HOLD, $99,943.07, $111.73, $0.00, $54.80
2018-12-30 23:00:00, $56.61, SELL, $100,056.29, $0.00, $0.12, $56.29
2019-01-01 23:00:00, $56.54, HOLD, $100,056.29, $0.00, $0.00, $56.29
2019-01-02 23:00:00, $56.24, SELL, $100,056.29, $0.00, $0.00, $56.29
2019-01-03 23:00:00, $56.28, BUY, $100,000.01, $56.28, $0.00, $56.29
2019-01-06 23:00:00, $56.33, HOLD, $100,000.01, $56.28, $0.00, $56.29
2019-01-07 23:00:00, $56.44, BUY, $99,943.57, $112.72, $0.00, $56.29
2019-01-08 23:00:00, $56.95, HOLD, $99,943.57, $112.72, $0.00, $56.29
2019-01-09 23:00:00, $57.23, BUY, $99,886.34, $169.95, $0.00, $56.29
2019-01-10 23:00:00, $56.88, SELL, $100,056.98, $0.00, $-0.35, $56.98
2019-01-13 23:00:00, $56.15, HOLD, $100,056.98, $0.00, $0.00, $56.98
2019-01-14 23:00:00, $55.27, SELL, $100,056.98, $0.00, $0.00, $56.98
2019-01-15 23:00:00, $55.06, HOLD, $100,056.98, $0.00, $0.00, $56.98
2019-01-16 23:00:00, $54.68, SELL, $100,056.98, $0.00, $0.00, $56.98
2019-01-17 23:00:00, $53.69, HOLD, $100,056.98, $0.00, $0.00, $56.98
2019-01-21 23:00:00, $52.24, SELL, $100,056.98, $0.00, $0.00, $56.98
2019-01-22 23:00:00, $51.27, HOLD, $100,056.98, $0.00, $0.00, $56.98
