Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 08:48:00, $111.44, BUY, $99,888.56, $111.44, $0.00, $0.00
2021-05-21 08:49:00, $111.42, SELL, $99,999.98, $0.00, $-0.02, $-0.02
2021-05-21 08:50:00, $111.45, BUY, $99,888.53, $111.45, $0.00, $-0.02
2021-05-21 08:51:00, $111.48, HOLD, $99,888.53, $111.45, $0.00, $-0.02
2021-05-21 08:52:00, $111.48, SELL, $100,000.01, $0.00, $0.03, $0.01
2021-05-21 08:53:00, $111.43, HOLD, $100,000.01, $0.00, $0.00, $0.01
2021-05-21 08:54:00, $111.39, SELL, $100,000.01, $0.00, $0.00, $0.01
2021-05-21 08:55:00, $111.40, BUY, $99,888.61, $111.40, $0.00, $0.01
2021-05-21 08:56:00, $111.42, HOLD, $99,888.61, $111.40, $0.00, $0.01
2021-05-21 08:57:00, $111.44, BUY, $99,777.17, $222.84, $0.00, $0.01
2021-05-21 08:58:00, $111.40, SELL, $99,999.96, $0.00, $-0.05, $-0.04
2021-05-21 08:59:00, $111.33, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-21 09:00:00, $111.25, SELL, $99,999.96, $0.00, $0.00, $-0.04
2021-05-21 09:01:00, $111.22, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-21 09:02:00, $111.22, BUY, $99,888.75, $111.22, $0.00, $-0.04
2021-05-21 09:03:00, $111.23, HOLD, $99,888.75, $111.22, $0.00, $-0.04
2021-05-21 09:04:00, $111.25, BUY, $99,777.50, $222.47, $0.00, $-0.04
2021-05-21 09:05:00, $111.18, SELL, $99,999.86, $0.00, $-0.07, $-0.14
2021-05-21 09:06:00, $111.16, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-05-21 09:07:00, $111.12, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-05-21 09:08:00, $111.12, BUY, $99,888.74, $111.12, $0.00, $-0.14
2021-05-21 09:09:00, $111.12, SELL, $99,999.86, $0.00, $-0.01, $-0.14
2021-05-21 09:10:00, $111.14, BUY, $99,888.72, $111.14, $0.00, $-0.14
2021-05-21 09:11:00, $111.16, HOLD, $99,888.72, $111.14, $0.00, $-0.14
2021-05-21 09:12:00, $111.19, BUY, $99,777.53, $222.32, $0.00, $-0.14
2021-05-21 09:13:00, $111.21, HOLD, $99,777.53, $222.32, $0.00, $-0.14
2021-05-21 09:14:00, $111.25, BUY, $99,666.28, $333.57, $0.00, $-0.14
2021-05-21 09:15:00, $111.27, HOLD, $99,666.28, $333.57, $0.00, $-0.14
2021-05-21 09:16:00, $111.26, SELL, $100,000.07, $0.00, $0.02, $0.07
2021-05-21 09:17:00, $111.25, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-21 09:18:00, $111.23, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-21 09:19:00, $111.19, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-21 09:20:00, $111.15, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-21 09:21:00, $111.10, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-21 09:22:00, $111.10, BUY, $99,888.97, $111.10, $0.00, $0.07
2021-05-21 09:23:00, $111.09, SELL, $100,000.06, $0.00, $-0.01, $0.06
2021-05-21 09:24:00, $111.10, BUY, $99,888.96, $111.10, $0.00, $0.06
2021-05-21 09:25:00, $111.07, SELL, $100,000.04, $0.00, $-0.02, $0.04
2021-05-21 09:26:00, $111.09, BUY, $99,888.95, $111.09, $0.00, $0.04
