Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $5.83, BUY, $99,994.17, $5.83, $0.00, $0.00
2020-05-28 23:00:00, $5.93, HOLD, $99,994.17, $5.83, $0.00, $0.00
2020-05-31 23:00:00, $6.07, BUY, $99,988.10, $11.90, $0.00, $0.00
2020-06-01 23:00:00, $6.23, HOLD, $99,988.10, $11.90, $0.00, $0.00
2020-06-02 23:00:00, $6.41, BUY, $99,981.69, $18.31, $0.00, $0.00
2020-06-03 23:00:00, $6.49, HOLD, $99,981.69, $18.31, $0.00, $0.00
2020-06-04 23:00:00, $6.45, SELL, $100,001.03, $0.00, $0.04, $1.03
2020-06-07 23:00:00, $6.34, HOLD, $100,001.03, $0.00, $0.00, $1.03
2020-06-08 23:00:00, $6.13, SELL, $100,001.03, $0.00, $0.00, $1.03
2020-06-09 23:00:00, $5.97, HOLD, $100,001.03, $0.00, $0.00, $1.03
2020-06-10 23:00:00, $5.90, SELL, $100,001.03, $0.00, $0.00, $1.03
2020-06-11 23:00:00, $5.96, BUY, $99,995.07, $5.96, $0.00, $1.03
2020-06-14 23:00:00, $6.01, HOLD, $99,995.07, $5.96, $0.00, $1.03
2020-06-15 23:00:00, $6.04, BUY, $99,989.03, $12.00, $0.00, $1.03
2020-06-16 23:00:00, $6.01, SELL, $100,001.06, $0.00, $-0.03, $1.06
2020-06-17 23:00:00, $6.00, HOLD, $100,001.06, $0.00, $0.00, $1.06
2020-06-18 23:00:00, $5.94, SELL, $100,001.06, $0.00, $0.00, $1.06
2020-06-21 23:00:00, $5.88, HOLD, $100,001.06, $0.00, $0.00, $1.06
2020-06-22 23:00:00, $5.83, SELL, $100,001.06, $0.00, $0.00, $1.06
2020-06-23 23:00:00, $5.71, HOLD, $100,001.06, $0.00, $0.00, $1.06
2020-06-24 23:00:00, $5.68, SELL, $100,001.06, $0.00, $0.00, $1.06
2020-06-25 23:00:00, $5.71, BUY, $99,995.35, $5.71, $0.00, $1.06
2020-06-28 23:00:00, $5.82, HOLD, $99,995.35, $5.71, $0.00, $1.06
2020-06-29 23:00:00, $5.87, BUY, $99,989.48, $11.58, $0.00, $1.06
2020-06-30 23:00:00, $5.87, SELL, $100,001.21, $0.00, $-0.01, $1.21
2020-07-01 23:00:00, $5.83, HOLD, $100,001.21, $0.00, $0.00, $1.21
2020-07-05 23:00:00, $5.80, SELL, $100,001.21, $0.00, $0.00, $1.21
2020-07-06 23:00:00, $5.73, HOLD, $100,001.21, $0.00, $0.00, $1.21
2020-07-07 23:00:00, $5.69, SELL, $100,001.21, $0.00, $0.00, $1.21
2020-07-08 23:00:00, $5.64, HOLD, $100,001.21, $0.00, $0.00, $1.21
2020-07-09 23:00:00, $5.65, BUY, $99,995.56, $5.65, $0.00, $1.21
2020-07-12 23:00:00, $5.75, HOLD, $99,995.56, $5.65, $0.00, $1.21
2020-07-13 23:00:00, $5.87, BUY, $99,989.69, $11.52, $0.00, $1.21
2020-07-14 23:00:00, $5.95, HOLD, $99,989.69, $11.52, $0.00, $1.21
2020-07-15 23:00:00, $5.88, SELL, $100,001.46, $0.00, $0.01, $1.46
2020-07-16 23:00:00, $5.86, HOLD, $100,001.46, $0.00, $0.00, $1.46
2020-07-19 23:00:00, $5.88, BUY, $99,995.58, $5.88, $0.00, $1.46
2020-07-20 23:00:00, $5.91, HOLD, $99,995.58, $5.88, $0.00, $1.46
2020-07-21 23:00:00, $5.92, BUY, $99,989.67, $11.79, $0.00, $1.46
2020-07-22 23:00:00, $5.93, HOLD, $99,989.67, $11.79, $0.00, $1.46
2020-07-23 23:00:00, $5.95, BUY, $99,983.72, $17.74, $0.00, $1.46
2020-07-26 23:00:00, $5.94, SELL, $100,001.54, $0.00, $-0.01, $1.54
2020-07-27 23:00:00, $5.90, HOLD, $100,001.54, $0.00, $0.00, $1.54
2020-07-28 23:00:00, $5.88, SELL, $100,001.54, $0.00, $0.00, $1.54
2020-07-29 23:00:00, $5.87, HOLD, $100,001.54, $0.00, $0.00, $1.54
2020-07-30 23:00:00, $5.88, BUY, $99,995.66, $5.88, $0.00, $1.54
2020-08-02 23:00:00, $5.90, HOLD, $99,995.66, $5.88, $0.00, $1.54
2020-08-03 23:00:00, $5.92, BUY, $99,989.73, $11.81, $0.00, $1.54
2020-08-04 23:00:00, $5.94, HOLD, $99,989.73, $11.81, $0.00, $1.54
2020-08-05 23:00:00, $5.97, BUY, $99,983.76, $17.78, $0.00, $1.54
2020-08-06 23:00:00, $6.01, HOLD, $99,983.76, $17.78, $0.00, $1.54
2020-08-09 23:00:00, $6.05, BUY, $99,977.72, $23.82, $0.00, $1.54
2020-08-10 23:00:00, $6.05, SELL, $100,001.90, $0.00, $-0.00, $1.90
2020-08-11 23:00:00, $6.03, HOLD, $100,001.90, $0.00, $0.00, $1.90
2020-08-12 23:00:00, $6.00, SELL, $100,001.90, $0.00, $0.00, $1.90
2020-08-13 23:00:00, $5.98, HOLD, $100,001.90, $0.00, $0.00, $1.90
2020-08-16 23:00:00, $5.94, SELL, $100,001.90, $0.00, $0.00, $1.90
2020-08-17 23:00:00, $5.88, HOLD, $100,001.90, $0.00, $0.00, $1.90
2020-08-18 23:00:00, $5.84, SELL, $100,001.90, $0.00, $0.00, $1.90
2020-08-19 23:00:00, $5.83, HOLD, $100,001.90, $0.00, $0.00, $1.90
2020-08-20 23:00:00, $5.84, BUY, $99,996.06, $5.84, $0.00, $1.90
2020-08-23 23:00:00, $5.84, HOLD, $99,996.06, $5.84, $0.00, $1.90
2020-08-24 23:00:00, $5.86, BUY, $99,990.20, $11.70, $0.00, $1.90
2020-08-25 23:00:00, $5.89, HOLD, $99,990.20, $11.70, $0.00, $1.90
2020-08-26 23:00:00, $5.91, BUY, $99,984.30, $17.61, $0.00, $1.90
2020-08-27 23:00:00, $5.88, SELL, $100,001.95, $0.00, $-0.02, $1.95
2020-08-30 23:00:00, $5.87, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-08-31 23:00:00, $5.83, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-01 23:00:00, $5.80, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-02 23:00:00, $5.70, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-03 23:00:00, $5.68, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-07 23:00:00, $5.64, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-08 23:00:00, $5.59, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-09 23:00:00, $5.57, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-10 23:00:00, $5.49, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-13 23:00:00, $5.47, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-14 23:00:00, $5.35, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-15 23:00:00, $5.29, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-16 23:00:00, $5.19, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-17 23:00:00, $5.13, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-20 23:00:00, $5.09, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-21 23:00:00, $5.08, SELL, $100,001.95, $0.00, $0.00, $1.95
2020-09-22 23:00:00, $5.08, HOLD, $100,001.95, $0.00, $0.00, $1.95
2020-09-23 23:00:00, $5.17, BUY, $99,996.78, $5.17, $0.00, $1.95
2020-09-24 23:00:00, $5.22, HOLD, $99,996.78, $5.17, $0.00, $1.95
2020-09-27 23:00:00, $5.30, BUY, $99,991.48, $10.47, $0.00, $1.95
2020-09-28 23:00:00, $5.42, HOLD, $99,991.48, $10.47, $0.00, $1.95
2020-09-29 23:00:00, $5.53, BUY, $99,985.95, $16.00, $0.00, $1.95
2020-09-30 23:00:00, $5.61, HOLD, $99,985.95, $16.00, $0.00, $1.95
2020-10-01 23:00:00, $5.58, SELL, $100,002.67, $0.00, $0.05, $2.67
