Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-24 09:56:00, $248.34, BUY, $99,751.66, $248.34, $0.00, $0.00
2021-05-24 09:57:00, $248.16, SELL, $99,999.82, $0.00, $-0.18, $-0.18
2021-05-24 09:58:00, $248.13, HOLD, $99,999.82, $0.00, $0.00, $-0.18
2021-05-24 09:59:00, $248.14, BUY, $99,751.68, $248.14, $0.00, $-0.18
2021-05-24 10:04:00, $248.45, HOLD, $99,751.68, $248.14, $0.00, $-0.18
2021-05-24 10:08:00, $248.71, BUY, $99,502.97, $496.85, $0.00, $-0.18
2021-05-24 10:14:00, $248.97, HOLD, $99,502.97, $496.85, $0.00, $-0.18
2021-05-24 10:21:00, $249.05, BUY, $99,253.92, $745.89, $0.00, $-0.18
2021-05-24 10:26:00, $248.98, SELL, $100,000.86, $0.00, $-0.07, $0.86
2021-05-24 10:28:00, $248.83, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-24 10:29:00, $248.62, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-24 10:30:00, $248.57, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-24 10:31:00, $248.55, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-24 10:34:00, $248.56, BUY, $99,752.30, $248.56, $0.00, $0.86
2021-05-24 10:35:00, $248.53, SELL, $100,000.82, $0.00, $-0.04, $0.82
2021-05-24 10:39:00, $248.52, HOLD, $100,000.82, $0.00, $0.00, $0.82
2021-05-24 10:40:00, $248.65, BUY, $99,752.17, $248.65, $0.00, $0.82
2021-05-24 10:41:00, $248.82, HOLD, $99,752.17, $248.65, $0.00, $0.82
2021-05-24 10:43:00, $248.78, SELL, $100,000.95, $0.00, $0.13, $0.95
2021-05-24 10:51:00, $248.75, HOLD, $100,000.95, $0.00, $0.00, $0.95
2021-05-24 10:53:00, $248.64, SELL, $100,000.95, $0.00, $0.00, $0.95
2021-05-24 10:55:00, $248.69, BUY, $99,752.26, $248.69, $0.00, $0.95
2021-05-24 10:58:00, $248.64, SELL, $100,000.91, $0.00, $-0.05, $0.91
2021-05-24 10:59:00, $248.75, BUY, $99,752.16, $248.75, $0.00, $0.91
