Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-11 12:10:00, $235.37, BUY, $99,764.63, $235.37, $0.00, $0.00
2021-05-11 12:15:00, $235.63, HOLD, $99,764.63, $235.37, $0.00, $0.00
2021-05-11 12:20:00, $235.89, BUY, $99,528.74, $471.26, $0.00, $0.00
2021-05-11 12:25:00, $235.87, SELL, $100,000.47, $0.00, $-0.02, $0.47
2021-05-11 12:35:00, $235.50, HOLD, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 12:40:00, $235.13, SELL, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 12:50:00, $234.92, HOLD, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 12:55:00, $234.81, SELL, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 13:00:00, $234.62, HOLD, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 13:05:00, $234.43, SELL, $100,000.47, $0.00, $0.00, $0.47
2021-05-11 13:10:00, $234.60, BUY, $99,765.87, $234.60, $0.00, $0.47
2021-05-11 13:15:00, $235.20, HOLD, $99,765.87, $234.60, $0.00, $0.47
2021-05-11 13:20:00, $235.53, BUY, $99,530.34, $470.13, $0.00, $0.47
2021-05-11 13:25:00, $235.49, SELL, $100,001.32, $0.00, $-0.04, $1.32
2021-05-11 13:30:00, $235.08, HOLD, $100,001.32, $0.00, $0.00, $1.32
2021-05-11 13:35:00, $234.95, SELL, $100,001.32, $0.00, $0.00, $1.32
2021-05-11 13:40:00, $234.98, BUY, $99,766.34, $234.98, $0.00, $1.32
2021-05-11 13:45:00, $234.87, SELL, $100,001.21, $0.00, $-0.11, $1.21
2021-05-11 13:50:00, $234.65, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-11 13:55:00, $234.42, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-11 14:00:00, $234.38, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-11 14:05:00, $234.49, BUY, $99,766.71, $234.49, $0.00, $1.21
2021-05-11 14:10:00, $234.61, HOLD, $99,766.71, $234.49, $0.00, $1.21
2021-05-11 14:15:00, $234.68, BUY, $99,532.03, $469.17, $0.00, $1.21
2021-05-11 14:20:00, $234.46, SELL, $100,000.95, $0.00, $-0.22, $0.95
2021-05-11 14:25:00, $234.38, HOLD, $100,000.95, $0.00, $0.00, $0.95
2021-05-11 14:30:00, $234.45, BUY, $99,766.49, $234.45, $0.00, $0.95
2021-05-11 14:35:00, $234.71, HOLD, $99,766.49, $234.45, $0.00, $0.95
2021-05-11 14:40:00, $234.92, BUY, $99,531.57, $469.37, $0.00, $0.95
2021-05-11 14:45:00, $235.02, HOLD, $99,531.57, $469.37, $0.00, $0.95
2021-05-11 14:50:00, $233.57, SELL, $99,998.71, $0.00, $-1.35, $-1.29
2021-05-11 14:55:00, $232.97, HOLD, $99,998.71, $0.00, $0.00, $-1.29
2021-05-12 08:30:00, $232.50, SELL, $99,998.71, $0.00, $0.00, $-1.29
2021-05-12 08:35:00, $233.61, BUY, $99,765.10, $233.61, $0.00, $-1.29
2021-05-12 08:40:00, $233.98, HOLD, $99,765.10, $233.61, $0.00, $-1.29
2021-05-12 08:45:00, $233.93, SELL, $99,999.03, $0.00, $0.32, $-0.97
2021-05-12 08:50:00, $233.28, HOLD, $99,999.03, $0.00, $0.00, $-0.97
2021-05-12 08:55:00, $232.89, SELL, $99,999.03, $0.00, $0.00, $-0.97
2021-05-12 09:00:00, $232.62, HOLD, $99,999.03, $0.00, $0.00, $-0.97
2021-05-12 09:05:00, $232.92, BUY, $99,766.11, $232.92, $0.00, $-0.97
2021-05-12 09:10:00, $232.92, HOLD, $99,766.11, $232.92, $0.00, $-0.97
2021-05-12 09:15:00, $233.02, BUY, $99,533.09, $465.94, $0.00, $-0.97
2021-05-12 09:20:00, $233.21, HOLD, $99,533.09, $465.94, $0.00, $-0.97
