Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $147.80, BUY, $99,852.20, $147.80, $0.00, $0.00
2021-02-28 23:00:00, $147.88, HOLD, $99,852.20, $147.80, $0.00, $0.00
2021-03-01 23:00:00, $143.92, SELL, $99,996.12, $0.00, $-3.88, $-3.88
2021-03-02 23:00:00, $139.79, HOLD, $99,996.12, $0.00, $0.00, $-3.88
2021-03-03 23:00:00, $135.74, SELL, $99,996.12, $0.00, $0.00, $-3.88
2021-03-04 23:00:00, $134.55, HOLD, $99,996.12, $0.00, $0.00, $-3.88
2021-03-07 23:00:00, $133.60, SELL, $99,996.12, $0.00, $0.00, $-3.88
2021-03-08 23:00:00, $135.99, BUY, $99,860.13, $135.99, $0.00, $-3.88
2021-03-09 23:00:00, $136.01, HOLD, $99,860.13, $135.99, $0.00, $-3.88
2021-03-10 23:00:00, $137.55, BUY, $99,722.58, $273.54, $0.00, $-3.88
2021-03-11 23:00:00, $137.83, HOLD, $99,722.58, $273.54, $0.00, $-3.88
2021-03-14 23:00:00, $138.46, BUY, $99,584.12, $412.00, $0.00, $-3.88
2021-03-15 23:00:00, $136.89, SELL, $99,994.80, $0.00, $-1.56, $-5.20
2021-03-16 23:00:00, $135.62, HOLD, $99,994.80, $0.00, $0.00, $-5.20
2021-03-17 23:00:00, $136.72, BUY, $99,858.08, $136.72, $0.00, $-5.20
2021-03-18 23:00:00, $138.18, HOLD, $99,858.08, $136.72, $0.00, $-5.20
2021-03-21 23:00:00, $138.07, SELL, $99,996.15, $0.00, $1.35, $-3.85
2021-03-22 23:00:00, $135.35, HOLD, $99,996.15, $0.00, $0.00, $-3.85
2021-03-23 23:00:00, $134.32, SELL, $99,996.15, $0.00, $0.00, $-3.85
2021-03-24 23:00:00, $134.41, BUY, $99,861.74, $134.41, $0.00, $-3.85
2021-03-25 23:00:00, $134.08, SELL, $99,995.82, $0.00, $-0.33, $-4.18
2021-03-28 23:00:00, $134.14, BUY, $99,861.68, $134.14, $0.00, $-4.18
2021-03-29 23:00:00, $135.21, HOLD, $99,861.68, $134.14, $0.00, $-4.18
2021-03-30 23:00:00, $138.07, BUY, $99,723.61, $272.21, $0.00, $-4.18
2021-03-31 23:00:00, $140.21, HOLD, $99,723.61, $272.21, $0.00, $-4.18
2021-04-04 23:00:00, $140.37, BUY, $99,583.23, $412.59, $0.00, $-4.18
2021-04-05 23:00:00, $140.20, SELL, $100,003.83, $0.00, $-0.18, $3.83
2021-04-06 23:00:00, $140.35, BUY, $99,863.47, $140.35, $0.00, $3.83
2021-04-07 23:00:00, $142.28, HOLD, $99,863.47, $140.35, $0.00, $3.83
2021-04-08 23:00:00, $144.84, BUY, $99,718.63, $285.20, $0.00, $3.83
2021-04-11 23:00:00, $146.15, HOLD, $99,718.63, $285.20, $0.00, $3.83
2021-04-12 23:00:00, $147.38, BUY, $99,571.24, $432.58, $0.00, $3.83
2021-04-13 23:00:00, $142.92, SELL, $100,000.01, $0.00, $-4.46, $0.01
2021-04-14 23:00:00, $138.46, HOLD, $100,000.01, $0.00, $0.00, $0.01
2021-04-15 23:00:00, $132.94, SELL, $100,000.01, $0.00, $0.00, $0.01
2021-04-18 23:00:00, $132.74, HOLD, $100,000.01, $0.00, $0.00, $0.01
2021-04-19 23:00:00, $133.49, BUY, $99,866.52, $133.49, $0.00, $0.01
2021-04-20 23:00:00, $133.95, HOLD, $99,866.52, $133.49, $0.00, $0.01
2021-04-21 23:00:00, $134.03, BUY, $99,732.50, $267.51, $0.00, $0.01
2021-04-22 23:00:00, $131.48, SELL, $99,995.46, $0.00, $-2.55, $-4.54
2021-04-25 23:00:00, $129.82, HOLD, $99,995.46, $0.00, $0.00, $-4.54
2021-04-26 23:00:00, $127.91, SELL, $99,995.46, $0.00, $0.00, $-4.54
2021-04-27 23:00:00, $127.58, HOLD, $99,995.46, $0.00, $0.00, $-4.54
2021-04-28 23:00:00, $125.87, SELL, $99,995.46, $0.00, $0.00, $-4.54
2021-04-29 23:00:00, $123.08, HOLD, $99,995.46, $0.00, $0.00, $-4.54
2021-05-02 23:00:00, $119.85, SELL, $99,995.46, $0.00, $0.00, $-4.54
2021-05-03 23:00:00, $117.78, HOLD, $99,995.46, $0.00, $0.00, $-4.54
2021-05-04 23:00:00, $117.10, SELL, $99,995.46, $0.00, $0.00, $-4.54
2021-05-05 23:00:00, $116.10, HOLD, $99,995.46, $0.00, $0.00, $-4.54
2021-05-06 23:00:00, $116.93, BUY, $99,878.53, $116.93, $0.00, $-4.54
2021-05-09 23:00:00, $116.19, SELL, $99,994.72, $0.00, $-0.74, $-5.28
2021-05-10 23:00:00, $115.60, HOLD, $99,994.72, $0.00, $0.00, $-5.28
2021-05-11 23:00:00, $114.60, SELL, $99,994.72, $0.00, $0.00, $-5.28
2021-05-12 23:00:00, $114.18, HOLD, $99,994.72, $0.00, $0.00, $-5.28
2021-05-13 23:00:00, $115.35, BUY, $99,879.37, $115.35, $0.00, $-5.28
2021-05-16 23:00:00, $114.18, SELL, $99,993.54, $0.00, $-1.18, $-6.46
2021-05-17 23:00:00, $114.80, BUY, $99,878.74, $114.80, $0.00, $-6.46
2021-05-18 23:00:00, $115.71, HOLD, $99,878.74, $114.80, $0.00, $-6.46
2021-05-19 23:00:00, $118.02, BUY, $99,760.72, $232.82, $0.00, $-6.46
2021-05-20 23:00:00, $118.83, HOLD, $99,760.72, $232.82, $0.00, $-6.46
