Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-24 14:34:00, $39.44, BUY, $99,960.56, $39.44, $0.00, $0.00
2021-05-24 14:35:00, $39.44, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2021-05-24 14:36:00, $39.43, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:37:00, $39.42, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:38:00, $39.41, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:39:00, $39.40, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:40:00, $39.40, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:41:00, $39.39, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:42:00, $39.38, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:43:00, $39.37, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:44:00, $39.36, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-24 14:45:00, $39.37, BUY, $99,960.62, $39.37, $0.00, $-0.01
2021-05-24 14:46:00, $39.38, HOLD, $99,960.62, $39.37, $0.00, $-0.01
2021-05-24 14:47:00, $39.39, BUY, $99,921.24, $78.76, $0.00, $-0.01
2021-05-24 14:48:00, $39.40, HOLD, $99,921.24, $78.76, $0.00, $-0.01
2021-05-24 14:49:00, $39.41, BUY, $99,881.83, $118.17, $0.00, $-0.01
2021-05-24 14:50:00, $39.41, SELL, $100,000.04, $0.00, $-0.00, $0.04
2021-05-24 14:51:00, $39.40, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:52:00, $39.38, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:53:00, $39.36, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:54:00, $39.35, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:55:00, $39.34, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:56:00, $39.34, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:57:00, $39.33, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-24 14:58:00, $39.55, BUY, $99,960.49, $39.55, $0.00, $0.04
2021-05-24 14:59:00, $40.02, HOLD, $99,960.49, $39.55, $0.00, $0.04
2021-05-25 08:30:00, $40.48, BUY, $99,920.02, $80.02, $0.00, $0.04
2021-05-25 08:31:00, $40.66, HOLD, $99,920.02, $80.02, $0.00, $0.04
2021-05-25 08:32:00, $40.58, SELL, $100,001.17, $0.00, $0.10, $1.17
2021-05-25 08:33:00, $40.46, HOLD, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:34:00, $40.46, HOLD, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:35:00, $40.44, SELL, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:36:00, $40.50, BUY, $99,960.67, $40.50, $0.00, $1.17
2021-05-25 08:37:00, $40.52, HOLD, $99,960.67, $40.50, $0.00, $1.17
2021-05-25 08:38:00, $40.59, BUY, $99,920.08, $81.09, $0.00, $1.17
2021-05-25 08:39:00, $40.74, HOLD, $99,920.08, $81.09, $0.00, $1.17
2021-05-25 08:40:00, $40.82, BUY, $99,879.26, $121.91, $0.00, $1.17
2021-05-25 08:41:00, $40.89, HOLD, $99,879.26, $121.91, $0.00, $1.17
2021-05-25 08:42:00, $40.83, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:43:00, $40.80, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:44:00, $40.72, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:45:00, $40.69, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:46:00, $40.59, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:47:00, $40.54, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:48:00, $40.48, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:49:00, $40.48, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:50:00, $40.40, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:51:00, $40.31, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:52:00, $40.23, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:53:00, $40.26, BUY, $99,961.48, $40.26, $0.00, $1.74
2021-05-25 08:54:00, $40.27, HOLD, $99,961.48, $40.26, $0.00, $1.74
2021-05-25 08:56:00, $40.26, SELL, $100,001.74, $0.00, $-0.00, $1.74
2021-05-25 08:57:00, $40.17, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:58:00, $40.10, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 08:59:00, $40.05, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:00:00, $40.03, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:01:00, $40.01, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:02:00, $39.98, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:03:00, $39.95, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:04:00, $39.92, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:05:00, $39.90, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:06:00, $39.86, SELL, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:07:00, $39.84, HOLD, $100,001.74, $0.00, $0.00, $1.74
2021-05-25 09:08:00, $39.85, BUY, $99,961.89, $39.85, $0.00, $1.74
2021-05-25 09:09:00, $39.88, HOLD, $99,961.89, $39.85, $0.00, $1.74
2021-05-25 09:11:00, $39.89, BUY, $99,922.00, $79.74, $0.00, $1.74
2021-05-25 09:14:00, $39.87, SELL, $100,001.75, $0.00, $-0.02, $1.75
2021-05-25 09:15:00, $39.84, HOLD, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 09:16:00, $39.80, SELL, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 09:17:00, $39.78, HOLD, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 09:21:00, $39.77, SELL, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 09:22:00, $39.78, BUY, $99,961.97, $39.78, $0.00, $1.75
2021-05-25 09:23:00, $39.81, HOLD, $99,961.97, $39.78, $0.00, $1.75
2021-05-25 09:24:00, $39.84, BUY, $99,922.13, $79.62, $0.00, $1.75
2021-05-25 09:26:00, $39.84, HOLD, $99,922.13, $79.62, $0.00, $1.75
2021-05-25 09:27:00, $39.84, HOLD, $99,922.13, $79.62, $0.00, $1.75
2021-05-25 09:28:00, $39.86, BUY, $99,882.27, $119.47, $0.00, $1.75
2021-05-25 09:29:00, $39.87, HOLD, $99,882.27, $119.47, $0.00, $1.75
2021-05-25 09:30:00, $39.88, BUY, $99,842.40, $159.35, $0.00, $1.75
2021-05-25 09:31:00, $39.85, SELL, $100,001.81, $0.00, $-0.02, $1.81
2021-05-25 09:32:00, $39.83, HOLD, $100,001.81, $0.00, $0.00, $1.81
2021-05-25 09:33:00, $39.83, BUY, $99,961.98, $39.83, $0.00, $1.81
2021-05-25 09:34:00, $39.87, HOLD, $99,961.98, $39.83, $0.00, $1.81
2021-05-25 09:35:00, $39.88, BUY, $99,922.09, $79.72, $0.00, $1.81
2021-05-25 09:36:00, $39.85, SELL, $100,001.79, $0.00, $-0.03, $1.79
2021-05-25 09:40:00, $39.83, HOLD, $100,001.79, $0.00, $0.00, $1.79
2021-05-25 09:42:00, $39.82, SELL, $100,001.79, $0.00, $0.00, $1.79
2021-05-25 09:43:00, $39.82, SELL, $100,001.79, $0.00, $0.00, $1.79
2021-05-25 09:44:00, $39.81, HOLD, $100,001.79, $0.00, $0.00, $1.79
2021-05-25 09:50:00, $39.81, SELL, $100,001.79, $0.00, $0.00, $1.79
2021-05-25 09:51:00, $39.81, BUY, $99,961.97, $39.81, $0.00, $1.79
2021-05-25 09:52:00, $39.81, SELL, $100,001.78, $0.00, $-0.01, $1.78
2021-05-25 09:53:00, $39.82, BUY, $99,961.96, $39.82, $0.00, $1.78
2021-05-25 09:55:00, $39.82, SELL, $100,001.78, $0.00, $-0.00, $1.78
2021-05-25 09:57:00, $39.83, BUY, $99,961.96, $39.83, $0.00, $1.78
2021-05-25 09:58:00, $39.80, SELL, $100,001.76, $0.00, $-0.02, $1.76
2021-05-25 09:59:00, $39.78, HOLD, $100,001.76, $0.00, $0.00, $1.76
2021-05-25 10:00:00, $39.75, SELL, $100,001.76, $0.00, $0.00, $1.76
2021-05-25 10:01:00, $39.70, HOLD, $100,001.76, $0.00, $0.00, $1.76
2021-05-25 10:03:00, $39.65, SELL, $100,001.76, $0.00, $0.00, $1.76
2021-05-25 10:04:00, $39.63, HOLD, $100,001.76, $0.00, $0.00, $1.76
2021-05-25 10:05:00, $39.63, BUY, $99,962.13, $39.63, $0.00, $1.76
2021-05-25 10:09:00, $39.66, HOLD, $99,962.13, $39.63, $0.00, $1.76
2021-05-25 10:10:00, $39.66, BUY, $99,922.46, $79.30, $0.00, $1.76
2021-05-25 10:12:00, $39.69, HOLD, $99,922.46, $79.30, $0.00, $1.76
2021-05-25 10:13:00, $39.69, HOLD, $99,922.46, $79.30, $0.00, $1.76
2021-05-25 10:15:00, $39.67, SELL, $100,001.80, $0.00, $0.01, $1.80
2021-05-25 10:18:00, $39.62, HOLD, $100,001.80, $0.00, $0.00, $1.80
2021-05-25 10:19:00, $39.61, SELL, $100,001.80, $0.00, $0.00, $1.80
2021-05-25 10:20:00, $39.61, HOLD, $100,001.80, $0.00, $0.00, $1.80
2021-05-25 10:21:00, $39.61, BUY, $99,962.19, $39.61, $0.00, $1.80
2021-05-25 10:22:00, $39.60, SELL, $100,001.80, $0.00, $-0.01, $1.79
2021-05-25 10:25:00, $39.59, HOLD, $100,001.80, $0.00, $0.00, $1.79
2021-05-25 10:26:00, $39.59, SELL, $100,001.80, $0.00, $0.00, $1.79
2021-05-25 10:27:00, $39.59, BUY, $99,962.20, $39.59, $0.00, $1.79
2021-05-25 10:28:00, $39.60, HOLD, $99,962.20, $39.59, $0.00, $1.79
2021-05-25 10:29:00, $39.61, BUY, $99,922.59, $79.20, $0.00, $1.79
2021-05-25 10:30:00, $39.58, SELL, $100,001.75, $0.00, $-0.03, $1.75
2021-05-25 10:31:00, $39.55, HOLD, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 10:32:00, $39.52, SELL, $100,001.75, $0.00, $0.00, $1.75
2021-05-25 10:33:00, $39.53, BUY, $99,962.22, $39.53, $0.00, $1.75
2021-05-25 10:34:00, $39.57, HOLD, $99,962.22, $39.53, $0.00, $1.75
2021-05-25 10:35:00, $39.60, BUY, $99,922.62, $79.14, $0.00, $1.75
2021-05-25 10:38:00, $39.62, HOLD, $99,922.62, $79.14, $0.00, $1.75
2021-05-25 10:39:00, $39.61, SELL, $100,001.84, $0.00, $0.01, $1.84
2021-05-25 10:40:00, $39.62, BUY, $99,962.22, $39.62, $0.00, $1.84
2021-05-25 10:41:00, $39.62, HOLD, $99,962.22, $39.62, $0.00, $1.84
2021-05-25 10:42:00, $39.65, BUY, $99,922.57, $79.27, $0.00, $1.84
2021-05-25 10:43:00, $39.68, HOLD, $99,922.57, $79.27, $0.00, $1.84
2021-05-25 10:45:00, $39.70, BUY, $99,882.88, $118.97, $0.00, $1.84
2021-05-25 10:46:00, $39.69, SELL, $100,001.94, $0.00, $-0.01, $1.94
2021-05-25 10:47:00, $39.66, HOLD, $100,001.94, $0.00, $0.00, $1.94
2021-05-25 10:51:00, $39.64, SELL, $100,001.94, $0.00, $0.00, $1.94
2021-05-25 10:55:00, $39.67, BUY, $99,962.26, $39.67, $0.00, $1.94
2021-05-25 10:56:00, $39.70, HOLD, $99,962.26, $39.67, $0.00, $1.94
2021-05-25 10:58:00, $39.73, BUY, $99,922.53, $79.40, $0.00, $1.94
2021-05-25 10:59:00, $39.71, SELL, $100,001.96, $0.00, $-0.02, $1.96
2021-05-25 11:00:00, $39.69, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:04:00, $39.66, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:08:00, $39.65, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:09:00, $39.64, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:10:00, $39.62, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:12:00, $39.62, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-05-25 11:15:00, $39.62, BUY, $99,962.34, $39.62, $0.00, $1.96
2021-05-25 11:17:00, $39.64, HOLD, $99,962.34, $39.62, $0.00, $1.96
2021-05-25 11:19:00, $39.66, BUY, $99,922.68, $79.28, $0.00, $1.96
2021-05-25 11:20:00, $39.68, HOLD, $99,922.68, $79.28, $0.00, $1.96
2021-05-25 11:21:00, $39.68, HOLD, $99,922.68, $79.28, $0.00, $1.96
2021-05-25 11:22:00, $39.70, BUY, $99,882.97, $118.99, $0.00, $1.96
2021-05-25 11:23:00, $39.74, HOLD, $99,882.97, $118.99, $0.00, $1.96
2021-05-25 11:26:00, $39.77, BUY, $99,843.20, $158.76, $0.00, $1.96
2021-05-25 11:29:00, $39.79, HOLD, $99,843.20, $158.76, $0.00, $1.96
2021-05-25 11:30:00, $39.79, BUY, $99,803.41, $198.55, $0.00, $1.96
2021-05-25 11:31:00, $39.79, HOLD, $99,803.41, $198.55, $0.00, $1.96
2021-05-25 11:33:00, $39.79, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:35:00, $39.79, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:38:00, $39.78, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:41:00, $39.78, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:43:00, $39.78, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:48:00, $39.75, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:53:00, $39.75, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:54:00, $39.73, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:57:00, $39.73, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 11:59:00, $39.71, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 12:01:00, $39.71, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 12:02:00, $39.71, SELL, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 12:03:00, $39.70, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 12:05:00, $39.70, HOLD, $100,002.36, $0.00, $0.00, $2.36
2021-05-25 12:06:00, $39.72, BUY, $99,962.64, $39.72, $0.00, $2.36
2021-05-25 12:07:00, $39.73, HOLD, $99,962.64, $39.72, $0.00, $2.36
2021-05-25 12:09:00, $39.75, BUY, $99,922.90, $79.47, $0.00, $2.36
2021-05-25 12:12:00, $39.77, HOLD, $99,922.90, $79.47, $0.00, $2.36
2021-05-25 12:13:00, $39.78, BUY, $99,883.11, $119.25, $0.00, $2.36
2021-05-25 12:14:00, $39.80, HOLD, $99,883.11, $119.25, $0.00, $2.36
2021-05-25 12:16:00, $39.80, HOLD, $99,883.11, $119.25, $0.00, $2.36
2021-05-25 12:18:00, $39.79, SELL, $100,002.48, $0.00, $0.01, $2.48
2021-05-25 12:21:00, $39.80, BUY, $99,962.68, $39.80, $0.00, $2.48
2021-05-25 12:22:00, $39.79, SELL, $100,002.47, $0.00, $-0.01, $2.47
2021-05-25 12:25:00, $39.80, BUY, $99,962.67, $39.80, $0.00, $2.47
2021-05-25 12:26:00, $39.79, SELL, $100,002.47, $0.00, $-0.01, $2.47
2021-05-25 12:27:00, $39.79, SELL, $100,002.47, $0.00, $0.00, $2.47
2021-05-25 12:29:00, $39.80, BUY, $99,962.67, $39.80, $0.00, $2.47
2021-05-25 12:31:00, $39.81, HOLD, $99,962.67, $39.80, $0.00, $2.47
2021-05-25 12:32:00, $39.81, BUY, $99,922.86, $79.61, $0.00, $2.47
2021-05-25 12:33:00, $39.81, BUY, $99,883.04, $119.42, $0.00, $2.47
2021-05-25 12:34:00, $39.80, SELL, $100,002.45, $0.00, $-0.01, $2.45
2021-05-25 12:35:00, $39.81, BUY, $99,962.64, $39.81, $0.00, $2.45
2021-05-25 12:36:00, $39.81, BUY, $99,922.83, $79.62, $0.00, $2.45
2021-05-25 12:37:00, $39.81, BUY, $99,883.02, $119.44, $0.00, $2.45
2021-05-25 12:39:00, $39.81, SELL, $100,002.45, $0.00, $-0.00, $2.45
2021-05-25 12:40:00, $39.80, HOLD, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 12:41:00, $39.80, SELL, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 12:42:00, $39.79, HOLD, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 12:43:00, $39.80, BUY, $99,962.65, $39.80, $0.00, $2.45
2021-05-25 12:45:00, $39.81, HOLD, $99,962.65, $39.80, $0.00, $2.45
2021-05-25 12:46:00, $39.82, BUY, $99,922.83, $79.62, $0.00, $2.45
2021-05-25 12:47:00, $39.80, SELL, $100,002.44, $0.00, $-0.02, $2.44
2021-05-25 12:51:00, $39.79, HOLD, $100,002.44, $0.00, $0.00, $2.44
2021-05-25 12:52:00, $39.78, SELL, $100,002.44, $0.00, $0.00, $2.44
2021-05-25 12:54:00, $39.79, BUY, $99,962.65, $39.79, $0.00, $2.44
2021-05-25 12:55:00, $39.80, HOLD, $99,962.65, $39.79, $0.00, $2.44
2021-05-25 12:56:00, $39.81, BUY, $99,922.84, $79.60, $0.00, $2.44
2021-05-25 12:57:00, $39.81, HOLD, $99,922.84, $79.60, $0.00, $2.44
2021-05-25 12:58:00, $39.81, SELL, $100,002.45, $0.00, $-0.00, $2.45
2021-05-25 12:59:00, $39.81, SELL, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 13:00:00, $39.80, HOLD, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 13:01:00, $39.80, SELL, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 13:03:00, $39.79, HOLD, $100,002.45, $0.00, $0.00, $2.45
2021-05-25 13:05:00, $39.78, SELL, $100,002.45, $0.00, $0.00, $2.45
