Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $33.79, BUY, $99,966.21, $33.79, $0.00, $0.00
2020-11-24 23:00:00, $33.71, SELL, $99,999.92, $0.00, $-0.08, $-0.08
2020-11-26 23:00:00, $34.07, BUY, $99,965.85, $34.07, $0.00, $-0.08
2020-11-29 23:00:00, $33.73, SELL, $99,999.57, $0.00, $-0.35, $-0.43
2020-11-30 23:00:00, $34.27, BUY, $99,965.31, $34.27, $0.00, $-0.43
2020-12-01 23:00:00, $34.48, HOLD, $99,965.31, $34.27, $0.00, $-0.43
2020-12-02 23:00:00, $34.92, BUY, $99,930.39, $69.19, $0.00, $-0.43
2020-12-03 23:00:00, $34.67, SELL, $99,999.73, $0.00, $-0.25, $-0.27
2020-12-06 23:00:00, $34.31, HOLD, $99,999.73, $0.00, $0.00, $-0.27
2020-12-07 23:00:00, $34.21, SELL, $99,999.73, $0.00, $0.00, $-0.27
2020-12-08 23:00:00, $33.70, HOLD, $99,999.73, $0.00, $0.00, $-0.27
2020-12-09 23:00:00, $33.67, SELL, $99,999.73, $0.00, $0.00, $-0.27
2020-12-10 23:00:00, $33.66, HOLD, $99,999.73, $0.00, $0.00, $-0.27
2020-12-13 23:00:00, $34.40, BUY, $99,965.34, $34.40, $0.00, $-0.27
2020-12-14 23:00:00, $34.75, HOLD, $99,965.34, $34.40, $0.00, $-0.27
2020-12-15 23:00:00, $34.90, BUY, $99,930.43, $69.30, $0.00, $-0.27
2020-12-16 23:00:00, $34.39, SELL, $99,999.21, $0.00, $-0.52, $-0.79
2020-12-17 23:00:00, $33.73, HOLD, $99,999.21, $0.00, $0.00, $-0.79
2020-12-20 23:00:00, $33.07, SELL, $99,999.21, $0.00, $0.00, $-0.79
2020-12-21 23:00:00, $32.52, HOLD, $99,999.21, $0.00, $0.00, $-0.79
2020-12-22 23:00:00, $32.17, SELL, $99,999.21, $0.00, $0.00, $-0.79
2020-12-23 23:00:00, $31.97, HOLD, $99,999.21, $0.00, $0.00, $-0.79
2020-12-27 23:00:00, $32.39, BUY, $99,966.82, $32.39, $0.00, $-0.79
2020-12-28 23:00:00, $33.00, HOLD, $99,966.82, $32.39, $0.00, $-0.79
2020-12-29 23:00:00, $33.49, BUY, $99,933.33, $65.88, $0.00, $-0.79
2020-12-30 23:00:00, $33.83, HOLD, $99,933.33, $65.88, $0.00, $-0.79
2021-01-03 23:00:00, $33.78, SELL, $100,000.90, $0.00, $0.29, $0.90
2021-01-04 23:00:00, $33.68, HOLD, $100,000.90, $0.00, $0.00, $0.90
2021-01-05 23:00:00, $33.52, SELL, $100,000.90, $0.00, $0.00, $0.90
2021-01-06 23:00:00, $33.36, HOLD, $100,000.90, $0.00, $0.00, $0.90
2021-01-07 23:00:00, $33.18, SELL, $100,000.90, $0.00, $0.00, $0.90
2021-01-10 23:00:00, $32.92, HOLD, $100,000.90, $0.00, $0.00, $0.90
2021-01-11 23:00:00, $32.88, SELL, $100,000.90, $0.00, $0.00, $0.90
2021-01-12 23:00:00, $33.04, BUY, $99,967.86, $33.04, $0.00, $0.90
2021-01-13 23:00:00, $33.27, HOLD, $99,967.86, $33.04, $0.00, $0.90
2021-01-14 23:00:00, $33.79, BUY, $99,934.07, $66.83, $0.00, $0.90
2021-01-18 23:00:00, $33.98, HOLD, $99,934.07, $66.83, $0.00, $0.90
2021-01-19 23:00:00, $33.95, SELL, $100,001.96, $0.00, $0.16, $1.96
2021-01-20 23:00:00, $33.34, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-01-21 23:00:00, $32.77, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-01-24 23:00:00, $32.19, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-01-25 23:00:00, $32.14, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-01-26 23:00:00, $32.09, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-01-27 23:00:00, $31.86, SELL, $100,001.96, $0.00, $0.00, $1.96
2021-01-28 23:00:00, $31.66, HOLD, $100,001.96, $0.00, $0.00, $1.96
2021-01-31 23:00:00, $31.67, BUY, $99,970.30, $31.67, $0.00, $1.96
2021-02-01 23:00:00, $32.21, HOLD, $99,970.30, $31.67, $0.00, $1.96
2021-02-02 23:00:00, $33.19, BUY, $99,937.11, $64.85, $0.00, $1.96
2021-02-03 23:00:00, $34.36, HOLD, $99,937.11, $64.85, $0.00, $1.96
2021-02-04 23:00:00, $35.26, BUY, $99,901.85, $100.11, $0.00, $1.96
2021-02-07 23:00:00, $35.78, HOLD, $99,901.85, $100.11, $0.00, $1.96
2021-02-08 23:00:00, $36.51, BUY, $99,865.34, $136.62, $0.00, $1.96
2021-02-09 23:00:00, $37.03, HOLD, $99,865.34, $136.62, $0.00, $1.96
2021-02-10 23:00:00, $37.73, BUY, $99,827.61, $174.35, $0.00, $1.96
2021-02-11 23:00:00, $37.92, HOLD, $99,827.61, $174.35, $0.00, $1.96
2021-02-15 23:00:00, $38.25, BUY, $99,789.36, $212.61, $0.00, $1.96
