Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:45:00, $219.55, BUY, $99,780.45, $219.55, $0.00, $0.00
2021-05-12 11:00:00, $220.17, HOLD, $99,780.45, $219.55, $0.00, $0.00
2021-05-12 11:15:00, $221.35, BUY, $99,559.09, $440.91, $0.00, $0.00
2021-05-12 11:30:00, $222.51, HOLD, $99,559.09, $440.91, $0.00, $0.00
2021-05-12 11:45:00, $223.12, BUY, $99,335.97, $664.03, $0.00, $0.00
2021-05-12 12:00:00, $223.33, HOLD, $99,335.97, $664.03, $0.00, $0.00
2021-05-12 12:15:00, $223.22, SELL, $100,005.64, $0.00, $0.10, $5.64
2021-05-12 12:30:00, $223.24, BUY, $99,782.39, $223.24, $0.00, $5.64
2021-05-12 12:45:00, $223.10, SELL, $100,005.49, $0.00, $-0.14, $5.49
2021-05-12 13:00:00, $223.47, BUY, $99,782.02, $223.47, $0.00, $5.49
2021-05-12 13:15:00, $223.64, HOLD, $99,782.02, $223.47, $0.00, $5.49
2021-05-12 13:30:00, $223.85, BUY, $99,558.17, $447.32, $0.00, $5.49
2021-05-12 13:45:00, $223.53, SELL, $100,005.24, $0.00, $-0.31, $5.24
2021-05-12 14:00:00, $223.89, BUY, $99,781.35, $223.89, $0.00, $5.24
2021-05-12 14:15:00, $224.02, HOLD, $99,781.35, $223.89, $0.00, $5.24
2021-05-12 14:30:00, $224.72, BUY, $99,556.63, $448.61, $0.00, $5.24
2021-05-12 14:45:00, $224.13, SELL, $100,004.89, $0.00, $-0.59, $4.89
2021-05-13 08:30:00, $224.17, BUY, $99,780.72, $224.17, $0.00, $4.89
2021-05-13 08:45:00, $222.89, SELL, $100,003.61, $0.00, $-1.29, $3.61
2021-05-13 09:00:00, $222.55, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 09:15:00, $221.86, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 09:30:00, $221.29, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 09:45:00, $220.07, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 10:00:00, $218.35, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 10:15:00, $217.01, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 10:30:00, $216.52, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 10:45:00, $216.40, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 11:00:00, $216.05, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 11:15:00, $214.83, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 11:30:00, $214.54, HOLD, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 11:45:00, $214.18, SELL, $100,003.61, $0.00, $0.00, $3.61
2021-05-13 12:00:00, $214.31, BUY, $99,789.29, $214.31, $0.00, $3.61
2021-05-13 12:15:00, $213.51, SELL, $100,002.80, $0.00, $-0.80, $2.80
2021-05-13 12:30:00, $213.91, BUY, $99,788.89, $213.91, $0.00, $2.80
2021-05-13 12:45:00, $214.18, HOLD, $99,788.89, $213.91, $0.00, $2.80
2021-05-13 13:00:00, $215.17, BUY, $99,573.72, $429.08, $0.00, $2.80
2021-05-13 13:15:00, $215.17, HOLD, $99,573.72, $429.08, $0.00, $2.80
2021-05-13 13:30:00, $214.68, SELL, $100,003.09, $0.00, $-0.49, $3.09
2021-05-13 13:45:00, $213.42, HOLD, $100,003.09, $0.00, $0.00, $3.09
2021-05-13 14:00:00, $212.57, SELL, $100,003.09, $0.00, $0.00, $3.09
2021-05-13 14:15:00, $212.50, HOLD, $100,003.09, $0.00, $0.00, $3.09
2021-05-13 14:30:00, $213.06, BUY, $99,790.03, $213.06, $0.00, $3.09
2021-05-13 14:45:00, $213.74, HOLD, $99,790.03, $213.06, $0.00, $3.09
2021-05-14 08:30:00, $214.25, BUY, $99,575.77, $427.31, $0.00, $3.09
2021-05-14 08:45:00, $214.29, HOLD, $99,575.77, $427.31, $0.00, $3.09
2021-05-14 09:00:00, $214.00, SELL, $100,003.77, $0.00, $-0.25, $3.77
2021-05-14 09:15:00, $214.32, BUY, $99,789.46, $214.32, $0.00, $3.77
2021-05-14 09:30:00, $214.51, HOLD, $99,789.46, $214.32, $0.00, $3.77
2021-05-14 09:45:00, $214.82, BUY, $99,574.64, $429.14, $0.00, $3.77
2021-05-14 10:00:00, $214.69, SELL, $100,004.01, $0.00, $-0.13, $4.01
2021-05-14 10:15:00, $214.64, HOLD, $100,004.01, $0.00, $0.00, $4.01
2021-05-14 10:30:00, $214.78, BUY, $99,789.22, $214.78, $0.00, $4.01
2021-05-14 10:45:00, $214.79, HOLD, $99,789.22, $214.78, $0.00, $4.01
2021-05-14 11:00:00, $214.91, BUY, $99,574.31, $429.69, $0.00, $4.01
