Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-04-27 23:00:00, $233.92, BUY, $99,766.08, $233.92, $0.00, $0.00
2021-04-28 23:00:00, $232.02, SELL, $99,998.11, $0.00, $-1.89, $-1.89
2021-04-29 23:00:00, $230.90, HOLD, $99,998.11, $0.00, $0.00, $-1.89
2021-05-02 23:00:00, $226.19, SELL, $99,998.11, $0.00, $0.00, $-1.89
2021-05-03 23:00:00, $222.43, HOLD, $99,998.11, $0.00, $0.00, $-1.89
2021-05-04 23:00:00, $220.68, SELL, $99,998.11, $0.00, $0.00, $-1.89
2021-05-05 23:00:00, $218.12, HOLD, $99,998.11, $0.00, $0.00, $-1.89
2021-05-06 23:00:00, $220.03, BUY, $99,778.07, $220.03, $0.00, $-1.89
2021-05-09 23:00:00, $221.41, HOLD, $99,778.07, $220.03, $0.00, $-1.89
2021-05-10 23:00:00, $220.23, SELL, $99,998.30, $0.00, $0.20, $-1.70
2021-05-11 23:00:00, $217.06, HOLD, $99,998.30, $0.00, $0.00, $-1.70
2021-05-12 23:00:00, $213.19, SELL, $99,998.30, $0.00, $0.00, $-1.70
2021-05-13 23:00:00, $214.76, BUY, $99,783.54, $214.76, $0.00, $-1.70
2021-05-16 23:00:00, $215.16, HOLD, $99,783.54, $214.76, $0.00, $-1.70
2021-05-17 23:00:00, $219.30, BUY, $99,564.24, $434.06, $0.00, $-1.70
2021-05-18 23:00:00, $221.51, HOLD, $99,564.24, $434.06, $0.00, $-1.70
2021-05-19 23:00:00, $223.65, BUY, $99,340.59, $657.72, $0.00, $-1.70
2021-05-20 23:00:00, $223.95, HOLD, $99,340.59, $657.72, $0.00, $-1.70
