Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:25:00, $134.01, BUY, $99,865.99, $134.01, $0.00, $0.00
2021-05-19 10:30:00, $133.89, SELL, $99,999.88, $0.00, $-0.12, $-0.12
2021-05-19 10:35:00, $133.77, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 10:40:00, $133.72, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 10:45:00, $133.77, BUY, $99,866.10, $133.77, $0.00, $-0.12
2021-05-19 10:50:00, $133.75, SELL, $99,999.86, $0.00, $-0.02, $-0.14
2021-05-19 10:55:00, $133.87, BUY, $99,865.99, $133.87, $0.00, $-0.14
2021-05-19 11:00:00, $133.88, HOLD, $99,865.99, $133.87, $0.00, $-0.14
2021-05-19 11:05:00, $133.93, BUY, $99,732.06, $267.79, $0.00, $-0.14
2021-05-19 11:10:00, $133.91, SELL, $99,999.88, $0.00, $-0.02, $-0.12
2021-05-19 11:15:00, $133.85, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:20:00, $133.78, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:25:00, $133.64, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:30:00, $133.52, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:35:00, $133.42, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:40:00, $133.41, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:45:00, $133.41, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-19 11:50:00, $133.51, BUY, $99,866.37, $133.51, $0.00, $-0.12
2021-05-19 11:55:00, $133.61, HOLD, $99,866.37, $133.51, $0.00, $-0.12
2021-05-19 12:00:00, $133.74, BUY, $99,732.63, $267.25, $0.00, $-0.12
2021-05-19 12:05:00, $133.81, HOLD, $99,732.63, $267.25, $0.00, $-0.12
2021-05-19 12:10:00, $133.86, BUY, $99,598.77, $401.11, $0.00, $-0.12
2021-05-19 12:15:00, $133.93, HOLD, $99,598.77, $401.11, $0.00, $-0.12
2021-05-19 12:20:00, $133.93, SELL, $100,000.54, $0.00, $0.07, $0.54
2021-05-19 12:25:00, $133.90, HOLD, $100,000.54, $0.00, $0.00, $0.54
2021-05-19 12:30:00, $133.83, SELL, $100,000.54, $0.00, $0.00, $0.54
2021-05-19 12:35:00, $133.83, BUY, $99,866.71, $133.83, $0.00, $0.54
2021-05-19 12:40:00, $133.91, HOLD, $99,866.71, $133.83, $0.00, $0.54
2021-05-19 12:45:00, $133.97, BUY, $99,732.74, $267.80, $0.00, $0.54
2021-05-19 12:50:00, $133.93, SELL, $100,000.60, $0.00, $-0.04, $0.60
2021-05-19 12:55:00, $133.85, HOLD, $100,000.60, $0.00, $0.00, $0.60
2021-05-19 13:00:00, $133.75, SELL, $100,000.60, $0.00, $0.00, $0.60
2021-05-19 13:05:00, $133.71, HOLD, $100,000.60, $0.00, $0.00, $0.60
2021-05-19 13:10:00, $133.93, BUY, $99,866.66, $133.93, $0.00, $0.60
2021-05-19 13:15:00, $134.15, HOLD, $99,866.66, $133.93, $0.00, $0.60
2021-05-19 13:20:00, $134.31, BUY, $99,732.35, $268.24, $0.00, $0.60
2021-05-19 13:25:00, $134.13, SELL, $100,000.61, $0.00, $-0.18, $0.61
2021-05-19 13:30:00, $134.00, HOLD, $100,000.61, $0.00, $0.00, $0.61
2021-05-19 13:35:00, $133.91, SELL, $100,000.61, $0.00, $0.00, $0.61
2021-05-19 13:40:00, $133.91, SELL, $100,000.61, $0.00, $0.00, $0.61
2021-05-19 13:45:00, $133.99, BUY, $99,866.62, $133.99, $0.00, $0.61
2021-05-19 13:50:00, $134.06, HOLD, $99,866.62, $133.99, $0.00, $0.61
2021-05-19 13:55:00, $134.19, BUY, $99,732.43, $268.18, $0.00, $0.61
2021-05-19 14:00:00, $134.25, HOLD, $99,732.43, $268.18, $0.00, $0.61
2021-05-19 14:05:00, $134.37, BUY, $99,598.07, $402.55, $0.00, $0.61
2021-05-19 14:10:00, $134.41, HOLD, $99,598.07, $402.55, $0.00, $0.61
2021-05-19 14:15:00, $134.45, BUY, $99,463.62, $536.99, $0.00, $0.61
2021-05-19 14:20:00, $134.43, SELL, $100,001.35, $0.00, $-0.01, $1.35
2021-05-19 14:25:00, $134.40, HOLD, $100,001.35, $0.00, $0.00, $1.35
2021-05-19 14:30:00, $134.34, SELL, $100,001.35, $0.00, $0.00, $1.35
2021-05-19 14:35:00, $134.32, HOLD, $100,001.35, $0.00, $0.00, $1.35
