Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:28:00, $597.49, BUY, $99,402.51, $597.49, $0.00, $0.00
2021-05-25 10:29:00, $597.33, SELL, $99,999.84, $0.00, $-0.16, $-0.16
2021-05-25 10:30:00, $596.93, HOLD, $99,999.84, $0.00, $0.00, $-0.16
2021-05-25 10:31:00, $596.48, SELL, $99,999.84, $0.00, $0.00, $-0.16
2021-05-25 10:32:00, $596.27, HOLD, $99,999.84, $0.00, $0.00, $-0.16
2021-05-25 10:33:00, $596.45, BUY, $99,403.39, $596.45, $0.00, $-0.16
2021-05-25 10:34:00, $596.77, HOLD, $99,403.39, $596.45, $0.00, $-0.16
2021-05-25 10:35:00, $597.26, BUY, $98,806.12, $1,193.72, $0.00, $-0.16
2021-05-25 10:36:00, $597.12, SELL, $100,000.36, $0.00, $-0.15, $0.36
2021-05-25 10:37:00, $597.08, HOLD, $100,000.36, $0.00, $0.00, $0.36
2021-05-25 10:38:00, $596.96, SELL, $100,000.36, $0.00, $0.00, $0.36
2021-05-25 10:39:00, $597.23, BUY, $99,403.13, $597.23, $0.00, $0.36
2021-05-25 10:40:00, $597.52, HOLD, $99,403.13, $597.23, $0.00, $0.36
2021-05-25 10:41:00, $597.93, BUY, $98,805.20, $1,195.16, $0.00, $0.36
2021-05-25 10:42:00, $598.28, HOLD, $98,805.20, $1,195.16, $0.00, $0.36
2021-05-25 10:43:00, $598.71, BUY, $98,206.48, $1,793.87, $0.00, $0.36
2021-05-25 10:44:00, $598.89, HOLD, $98,206.48, $1,793.87, $0.00, $0.36
2021-05-25 10:45:00, $598.92, BUY, $97,607.56, $2,392.79, $0.00, $0.36
2021-05-25 10:46:00, $598.89, SELL, $100,003.12, $0.00, $-0.03, $3.12
2021-05-25 10:47:00, $598.77, HOLD, $100,003.12, $0.00, $0.00, $3.12
2021-05-25 10:48:00, $598.82, BUY, $99,404.31, $598.82, $0.00, $3.12
2021-05-25 10:49:00, $598.45, SELL, $100,002.76, $0.00, $-0.36, $2.76
2021-05-25 10:50:00, $598.03, HOLD, $100,002.76, $0.00, $0.00, $2.76
2021-05-25 10:51:00, $597.93, SELL, $100,002.76, $0.00, $0.00, $2.76
2021-05-25 10:52:00, $598.09, BUY, $99,404.67, $598.09, $0.00, $2.76
2021-05-25 10:53:00, $598.79, HOLD, $99,404.67, $598.09, $0.00, $2.76
2021-05-25 10:54:00, $599.16, BUY, $98,805.52, $1,197.24, $0.00, $2.76
2021-05-25 10:55:00, $599.64, HOLD, $98,805.52, $1,197.24, $0.00, $2.76
2021-05-25 10:56:00, $599.74, BUY, $98,205.78, $1,796.98, $0.00, $2.76
2021-05-25 10:57:00, $599.95, HOLD, $98,205.78, $1,796.98, $0.00, $2.76
2021-05-25 10:58:00, $599.96, BUY, $97,605.81, $2,396.95, $0.00, $2.76
2021-05-25 10:59:00, $599.86, SELL, $100,005.27, $0.00, $-0.10, $5.27
2021-05-25 11:00:00, $599.67, HOLD, $100,005.27, $0.00, $0.00, $5.27
2021-05-25 11:01:00, $599.43, SELL, $100,005.27, $0.00, $0.00, $5.27
2021-05-25 11:02:00, $599.42, HOLD, $100,005.27, $0.00, $0.00, $5.27
2021-05-25 11:03:00, $599.67, BUY, $99,405.59, $599.67, $0.00, $5.27
2021-05-25 11:04:00, $599.90, HOLD, $99,405.59, $599.67, $0.00, $5.27
2021-05-25 11:05:00, $600.20, BUY, $98,805.39, $1,199.87, $0.00, $5.27
2021-05-25 11:06:00, $600.41, HOLD, $98,805.39, $1,199.87, $0.00, $5.27
2021-05-25 11:07:00, $600.83, BUY, $98,204.56, $1,800.71, $0.00, $5.27
2021-05-25 11:08:00, $601.03, HOLD, $98,204.56, $1,800.71, $0.00, $5.27
2021-05-25 11:09:00, $601.07, BUY, $97,603.49, $2,401.78, $0.00, $5.27
2021-05-25 11:10:00, $600.94, SELL, $100,007.23, $0.00, $-0.14, $7.23
2021-05-25 11:11:00, $600.71, HOLD, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:12:00, $600.27, SELL, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:13:00, $600.03, HOLD, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:15:00, $599.60, SELL, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:16:00, $599.43, HOLD, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:17:00, $598.97, SELL, $100,007.23, $0.00, $0.00, $7.23
2021-05-25 11:18:00, $599.04, BUY, $99,408.20, $599.04, $0.00, $7.23
2021-05-25 11:19:00, $598.98, SELL, $100,007.18, $0.00, $-0.05, $7.18
2021-05-25 11:20:00, $599.19, BUY, $99,407.99, $599.19, $0.00, $7.18
2021-05-25 11:21:00, $599.14, SELL, $100,007.13, $0.00, $-0.05, $7.13
2021-05-25 11:22:00, $599.03, HOLD, $100,007.13, $0.00, $0.00, $7.13
2021-05-25 11:23:00, $598.85, SELL, $100,007.13, $0.00, $0.00, $7.13
2021-05-25 11:24:00, $599.02, BUY, $99,408.11, $599.02, $0.00, $7.13
