Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $691.83, BUY, $99,308.17, $691.83, $0.00, $0.00
2021-02-28 23:00:00, $685.57, SELL, $99,993.74, $0.00, $-6.26, $-6.26
2021-03-01 23:00:00, $653.25, HOLD, $99,993.74, $0.00, $0.00, $-6.26
2021-03-02 23:00:00, $623.74, SELL, $99,993.74, $0.00, $0.00, $-6.26
2021-03-03 23:00:00, $593.99, HOLD, $99,993.74, $0.00, $0.00, $-6.26
2021-03-04 23:00:00, $611.35, BUY, $99,382.39, $611.35, $0.00, $-6.26
2021-03-07 23:00:00, $634.94, HOLD, $99,382.39, $611.35, $0.00, $-6.26
2021-03-08 23:00:00, $680.48, BUY, $98,701.90, $1,291.83, $0.00, $-6.26
2021-03-09 23:00:00, $687.24, HOLD, $98,701.90, $1,291.83, $0.00, $-6.26
2021-03-10 23:00:00, $700.46, BUY, $98,001.44, $1,992.29, $0.00, $-6.26
2021-03-11 23:00:00, $692.80, SELL, $100,079.85, $0.00, $-7.66, $79.85
2021-03-14 23:00:00, $695.37, BUY, $99,384.48, $695.37, $0.00, $79.85
2021-03-15 23:00:00, $677.16, SELL, $100,061.64, $0.00, $-18.21, $61.64
2021-03-16 23:00:00, $669.94, HOLD, $100,061.64, $0.00, $0.00, $61.64
2021-03-17 23:00:00, $659.42, SELL, $100,061.64, $0.00, $0.00, $61.64
2021-03-18 23:00:00, $662.48, BUY, $99,399.16, $662.48, $0.00, $61.64
2021-03-21 23:00:00, $654.20, SELL, $100,053.36, $0.00, $-8.28, $53.36
2021-03-22 23:00:00, $644.23, HOLD, $100,053.36, $0.00, $0.00, $53.36
2021-03-23 23:00:00, $629.68, SELL, $100,053.36, $0.00, $0.00, $53.36
2021-03-24 23:00:00, $623.48, HOLD, $100,053.36, $0.00, $0.00, $53.36
2021-03-25 23:00:00, $622.16, SELL, $100,053.36, $0.00, $0.00, $53.36
2021-03-28 23:00:00, $638.59, BUY, $99,414.77, $638.59, $0.00, $53.36
2021-03-29 23:00:00, $655.20, HOLD, $99,414.77, $638.59, $0.00, $53.36
2021-03-30 23:00:00, $673.48, BUY, $98,741.29, $1,312.07, $0.00, $53.36
2021-03-31 23:00:00, $681.26, HOLD, $98,741.29, $1,312.07, $0.00, $53.36
2021-04-04 23:00:00, $684.49, BUY, $98,056.80, $1,996.56, $0.00, $53.36
2021-04-05 23:00:00, $682.08, SELL, $100,103.04, $0.00, $-2.41, $103.04
2021-04-06 23:00:00, $677.27, HOLD, $100,103.04, $0.00, $0.00, $103.04
2021-04-07 23:00:00, $687.45, BUY, $99,415.59, $687.45, $0.00, $103.04
2021-04-08 23:00:00, $713.64, HOLD, $99,415.59, $687.45, $0.00, $103.04
2021-04-11 23:00:00, $732.24, BUY, $98,683.35, $1,419.68, $0.00, $103.04
2021-04-12 23:00:00, $744.67, HOLD, $98,683.35, $1,419.68, $0.00, $103.04
2021-04-13 23:00:00, $737.15, SELL, $100,157.65, $0.00, $4.91, $157.65
2021-04-14 23:00:00, $731.21, HOLD, $100,157.65, $0.00, $0.00, $157.65
2021-04-15 23:00:00, $724.52, SELL, $100,157.65, $0.00, $0.00, $157.65
2021-04-18 23:00:00, $725.90, BUY, $99,431.75, $725.90, $0.00, $157.65
2021-04-19 23:00:00, $727.49, HOLD, $99,431.75, $725.90, $0.00, $157.65
2021-04-20 23:00:00, $731.03, BUY, $98,700.72, $1,456.93, $0.00, $157.65
2021-04-21 23:00:00, $729.06, SELL, $100,158.84, $0.00, $-1.97, $158.84
2021-04-22 23:00:00, $724.05, HOLD, $100,158.84, $0.00, $0.00, $158.84
2021-04-25 23:00:00, $712.40, SELL, $100,158.84, $0.00, $0.00, $158.84
2021-04-26 23:00:00, $692.08, HOLD, $100,158.84, $0.00, $0.00, $158.84
2021-04-27 23:00:00, $693.79, BUY, $99,465.04, $693.79, $0.00, $158.84
2021-04-28 23:00:00, $690.57, SELL, $100,155.61, $0.00, $-3.22, $155.61
2021-04-29 23:00:00, $689.62, HOLD, $100,155.61, $0.00, $0.00, $155.61
2021-05-02 23:00:00, $676.75, SELL, $100,155.61, $0.00, $0.00, $155.61
2021-05-03 23:00:00, $669.72, HOLD, $100,155.61, $0.00, $0.00, $155.61
2021-05-04 23:00:00, $669.12, SELL, $100,155.61, $0.00, $0.00, $155.61
2021-05-05 23:00:00, $655.04, HOLD, $100,155.61, $0.00, $0.00, $155.61
2021-05-06 23:00:00, $639.48, SELL, $100,155.61, $0.00, $0.00, $155.61
2021-05-09 23:00:00, $611.96, HOLD, $100,155.61, $0.00, $0.00, $155.61
2021-05-10 23:00:00, $592.81, SELL, $100,155.61, $0.00, $0.00, $155.61
2021-05-11 23:00:00, $583.68, HOLD, $100,155.61, $0.00, $0.00, $155.61
2021-05-12 23:00:00, $579.36, SELL, $100,155.61, $0.00, $0.00, $155.61
2021-05-13 23:00:00, $581.39, BUY, $99,574.22, $581.39, $0.00, $155.61
2021-05-16 23:00:00, $572.66, SELL, $100,146.88, $0.00, $-8.73, $146.88
2021-05-17 23:00:00, $575.95, BUY, $99,570.93, $575.95, $0.00, $146.88
2021-05-18 23:00:00, $577.02, HOLD, $99,570.93, $575.95, $0.00, $146.88
2021-05-19 23:00:00, $591.46, BUY, $98,979.48, $1,167.41, $0.00, $146.88
2021-05-20 23:00:00, $597.46, HOLD, $98,979.48, $1,167.41, $0.00, $146.88
