Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 08:37:00, $185.38, BUY, $99,814.62, $185.38, $0.00, $0.00
2021-05-21 08:38:00, $185.46, HOLD, $99,814.62, $185.38, $0.00, $0.00
2021-05-21 08:40:00, $185.56, BUY, $99,629.06, $370.94, $0.00, $0.00
2021-05-21 08:41:00, $185.61, HOLD, $99,629.06, $370.94, $0.00, $0.00
2021-05-21 08:42:00, $185.63, BUY, $99,443.43, $556.57, $0.00, $0.00
2021-05-21 08:43:00, $185.50, SELL, $99,999.93, $0.00, $-0.13, $-0.07
2021-05-21 08:44:00, $185.44, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-21 08:45:00, $185.38, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-05-21 08:46:00, $185.50, BUY, $99,814.43, $185.50, $0.00, $-0.07
2021-05-21 08:47:00, $185.50, BUY, $99,628.93, $371.00, $0.00, $-0.07
2021-05-21 08:48:00, $185.55, HOLD, $99,628.93, $371.00, $0.00, $-0.07
2021-05-21 08:49:00, $185.50, SELL, $99,999.92, $0.00, $-0.00, $-0.08
2021-05-21 08:50:00, $185.39, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-21 08:51:00, $185.23, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-21 08:52:00, $185.19, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-21 08:53:00, $185.22, BUY, $99,814.70, $185.22, $0.00, $-0.08
2021-05-21 08:54:00, $185.38, HOLD, $99,814.70, $185.22, $0.00, $-0.08
2021-05-21 08:55:00, $185.56, BUY, $99,629.14, $370.78, $0.00, $-0.08
2021-05-21 08:56:00, $185.73, HOLD, $99,629.14, $370.78, $0.00, $-0.08
2021-05-21 08:57:00, $185.93, BUY, $99,443.21, $556.71, $0.00, $-0.08
2021-05-21 08:58:00, $186.02, HOLD, $99,443.21, $556.71, $0.00, $-0.08
2021-05-21 08:59:00, $186.03, BUY, $99,257.18, $742.74, $0.00, $-0.08
2021-05-21 09:00:00, $185.93, SELL, $100,000.91, $0.00, $-0.09, $0.91
2021-05-21 09:01:00, $185.86, HOLD, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:02:00, $185.77, SELL, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:04:00, $185.65, HOLD, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:05:00, $185.38, SELL, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:06:00, $185.20, HOLD, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:07:00, $185.00, SELL, $100,000.91, $0.00, $0.00, $0.91
2021-05-21 09:08:00, $185.04, BUY, $99,815.87, $185.04, $0.00, $0.91
2021-05-21 09:09:00, $185.12, HOLD, $99,815.87, $185.04, $0.00, $0.91
2021-05-21 09:10:00, $185.24, BUY, $99,630.63, $370.28, $0.00, $0.91
2021-05-21 09:11:00, $185.24, HOLD, $99,630.63, $370.28, $0.00, $0.91
2021-05-21 09:12:00, $185.20, SELL, $100,001.03, $0.00, $-0.04, $1.03
2021-05-21 09:13:00, $185.18, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:14:00, $185.14, SELL, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:15:00, $185.09, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:16:00, $184.98, SELL, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:17:00, $184.85, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:18:00, $184.73, SELL, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:20:00, $184.73, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-21 09:21:00, $184.76, BUY, $99,816.26, $184.76, $0.00, $1.03
2021-05-21 09:22:00, $184.75, SELL, $100,001.01, $0.00, $-0.02, $1.01
2021-05-21 09:23:00, $184.69, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-21 09:24:00, $184.63, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-21 09:25:00, $184.63, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-21 09:26:00, $184.66, BUY, $99,816.35, $184.66, $0.00, $1.01
2021-05-21 09:27:00, $184.63, SELL, $100,000.98, $0.00, $-0.03, $0.98
2021-05-21 09:28:00, $184.64, BUY, $99,816.34, $184.64, $0.00, $0.98
2021-05-21 09:29:00, $184.69, HOLD, $99,816.34, $184.64, $0.00, $0.98
2021-05-21 09:30:00, $184.84, BUY, $99,631.50, $369.48, $0.00, $0.98
2021-05-21 09:32:00, $184.99, HOLD, $99,631.50, $369.48, $0.00, $0.98
2021-05-21 09:33:00, $185.13, BUY, $99,446.37, $554.61, $0.00, $0.98
2021-05-21 09:34:00, $185.21, HOLD, $99,446.37, $554.61, $0.00, $0.98
2021-05-21 09:35:00, $185.08, SELL, $100,001.62, $0.00, $-0.04, $1.62
2021-05-21 09:36:00, $184.93, HOLD, $100,001.62, $0.00, $0.00, $1.62
2021-05-21 09:37:00, $184.79, SELL, $100,001.62, $0.00, $0.00, $1.62
2021-05-21 09:38:00, $184.82, BUY, $99,816.79, $184.82, $0.00, $1.62
2021-05-21 09:39:00, $184.79, SELL, $100,001.58, $0.00, $-0.03, $1.58
2021-05-21 09:41:00, $184.81, BUY, $99,816.77, $184.81, $0.00, $1.58
2021-05-21 09:42:00, $184.81, HOLD, $99,816.77, $184.81, $0.00, $1.58
2021-05-21 09:43:00, $184.85, BUY, $99,631.92, $369.66, $0.00, $1.58
2021-05-21 09:44:00, $184.86, HOLD, $99,631.92, $369.66, $0.00, $1.58
2021-05-21 09:45:00, $184.84, SELL, $100,001.60, $0.00, $-0.01, $1.60
2021-05-21 09:46:00, $184.83, HOLD, $100,001.60, $0.00, $0.00, $1.60
2021-05-21 09:47:00, $184.84, BUY, $99,816.76, $184.84, $0.00, $1.60
