Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-24 23:00:00, $111.45, BUY, $99,888.55, $111.45, $0.00, $0.00
2018-05-28 23:00:00, $111.56, HOLD, $99,888.55, $111.45, $0.00, $0.00
2018-05-29 23:00:00, $112.85, BUY, $99,775.70, $224.30, $0.00, $0.00
2018-05-30 23:00:00, $114.15, HOLD, $99,775.70, $224.30, $0.00, $0.00
2018-05-31 23:00:00, $116.06, BUY, $99,659.64, $340.36, $0.00, $0.00
2018-06-03 23:00:00, $117.17, HOLD, $99,659.64, $340.36, $0.00, $0.00
2018-06-04 23:00:00, $117.68, BUY, $99,541.96, $458.04, $0.00, $0.00
2018-06-05 23:00:00, $117.03, SELL, $100,010.07, $0.00, $-0.65, $10.07
2018-06-06 23:00:00, $116.08, HOLD, $100,010.07, $0.00, $0.00, $10.07
2018-06-07 23:00:00, $115.47, SELL, $100,010.07, $0.00, $0.00, $10.07
2018-06-10 23:00:00, $114.90, HOLD, $100,010.07, $0.00, $0.00, $10.07
2018-06-11 23:00:00, $114.72, SELL, $100,010.07, $0.00, $0.00, $10.07
2018-06-12 23:00:00, $114.87, BUY, $99,895.21, $114.87, $0.00, $10.07
2018-06-13 23:00:00, $115.00, HOLD, $99,895.21, $114.87, $0.00, $10.07
2018-06-14 23:00:00, $114.65, SELL, $100,009.85, $0.00, $-0.22, $9.85
2018-06-17 23:00:00, $114.11, HOLD, $100,009.85, $0.00, $0.00, $9.85
2018-06-18 23:00:00, $113.35, SELL, $100,009.85, $0.00, $0.00, $9.85
2018-06-19 23:00:00, $112.92, HOLD, $100,009.85, $0.00, $0.00, $9.85
2018-06-20 23:00:00, $111.56, SELL, $100,009.85, $0.00, $0.00, $9.85
2018-06-21 23:00:00, $111.36, HOLD, $100,009.85, $0.00, $0.00, $9.85
2018-06-24 23:00:00, $110.16, SELL, $100,009.85, $0.00, $0.00, $9.85
2018-06-25 23:00:00, $109.80, HOLD, $100,009.85, $0.00, $0.00, $9.85
2018-06-26 23:00:00, $109.38, SELL, $100,009.85, $0.00, $0.00, $9.85
2018-06-27 23:00:00, $109.87, BUY, $99,899.99, $109.87, $0.00, $9.85
2018-06-28 23:00:00, $109.80, SELL, $100,009.79, $0.00, $-0.06, $9.79
2018-07-01 23:00:00, $110.22, BUY, $99,899.57, $110.22, $0.00, $9.79
2018-07-02 23:00:00, $111.05, HOLD, $99,899.57, $110.22, $0.00, $9.79
2018-07-04 23:00:00, $112.11, BUY, $99,787.45, $222.34, $0.00, $9.79
2018-07-05 23:00:00, $112.84, HOLD, $99,787.45, $222.34, $0.00, $9.79
2018-07-08 23:00:00, $112.53, SELL, $100,012.51, $0.00, $0.42, $12.51
2018-07-09 23:00:00, $113.78, BUY, $99,898.73, $113.78, $0.00, $12.51
2018-07-10 23:00:00, $114.26, HOLD, $99,898.73, $113.78, $0.00, $12.51
2018-07-11 23:00:00, $115.19, BUY, $99,783.55, $228.97, $0.00, $12.51
2018-07-12 23:00:00, $115.17, SELL, $100,013.89, $0.00, $-0.02, $13.89
2018-07-15 23:00:00, $115.35, BUY, $99,898.54, $115.35, $0.00, $13.89
2018-07-16 23:00:00, $115.35, HOLD, $99,898.54, $115.35, $0.00, $13.89
2018-07-17 23:00:00, $115.09, SELL, $100,013.62, $0.00, $-0.26, $13.62
2018-07-18 23:00:00, $114.74, HOLD, $100,013.62, $0.00, $0.00, $13.62
2018-07-19 23:00:00, $114.44, SELL, $100,013.62, $0.00, $0.00, $13.62
2018-07-22 23:00:00, $113.86, HOLD, $100,013.62, $0.00, $0.00, $13.62
2018-07-23 23:00:00, $113.41, SELL, $100,013.62, $0.00, $0.00, $13.62
2018-07-24 23:00:00, $113.05, HOLD, $100,013.62, $0.00, $0.00, $13.62
2018-07-25 23:00:00, $112.27, SELL, $100,013.62, $0.00, $0.00, $13.62
2018-07-26 23:00:00, $111.61, HOLD, $100,013.62, $0.00, $0.00, $13.62
2018-07-29 23:00:00, $111.08, SELL, $100,013.62, $0.00, $0.00, $13.62
2018-07-30 23:00:00, $111.51, BUY, $99,902.11, $111.51, $0.00, $13.62
2018-07-31 23:00:00, $112.01, HOLD, $99,902.11, $111.51, $0.00, $13.62
2018-08-01 23:00:00, $112.71, BUY, $99,789.40, $224.22, $0.00, $13.62
2018-08-02 23:00:00, $113.90, HOLD, $99,789.40, $224.22, $0.00, $13.62
2018-08-05 23:00:00, $115.01, BUY, $99,674.39, $339.23, $0.00, $13.62
2018-08-06 23:00:00, $115.41, HOLD, $99,674.39, $339.23, $0.00, $13.62
2018-08-07 23:00:00, $113.52, SELL, $100,014.95, $0.00, $-1.49, $14.95
2018-08-08 23:00:00, $111.46, HOLD, $100,014.95, $0.00, $0.00, $14.95
2018-08-09 23:00:00, $110.13, SELL, $100,014.95, $0.00, $0.00, $14.95
2018-08-12 23:00:00, $109.97, HOLD, $100,014.95, $0.00, $0.00, $14.95
2018-08-13 23:00:00, $109.78, SELL, $100,014.95, $0.00, $0.00, $14.95
2018-08-14 23:00:00, $109.55, HOLD, $100,014.95, $0.00, $0.00, $14.95
2018-08-15 23:00:00, $109.36, SELL, $100,014.95, $0.00, $0.00, $14.95
2018-08-16 23:00:00, $110.07, BUY, $99,904.89, $110.07, $0.00, $14.95
2018-08-19 23:00:00, $110.93, HOLD, $99,904.89, $110.07, $0.00, $14.95
2018-08-20 23:00:00, $112.04, BUY, $99,792.84, $222.11, $0.00, $14.95
2018-08-21 23:00:00, $112.75, HOLD, $99,792.84, $222.11, $0.00, $14.95
2018-08-22 23:00:00, $113.76, BUY, $99,679.08, $335.87, $0.00, $14.95
2018-08-23 23:00:00, $114.64, HOLD, $99,679.08, $335.87, $0.00, $14.95
2018-08-26 23:00:00, $115.25, BUY, $99,563.83, $451.13, $0.00, $14.95
2018-08-27 23:00:00, $114.36, SELL, $100,021.28, $0.00, $-0.89, $21.28
2018-08-28 23:00:00, $113.48, HOLD, $100,021.28, $0.00, $0.00, $21.28
2018-08-29 23:00:00, $112.51, SELL, $100,021.28, $0.00, $0.00, $21.28
2018-08-30 23:00:00, $112.03, HOLD, $100,021.28, $0.00, $0.00, $21.28
2018-09-03 23:00:00, $111.53, SELL, $100,021.28, $0.00, $0.00, $21.28
2018-09-04 23:00:00, $110.17, HOLD, $100,021.28, $0.00, $0.00, $21.28
2018-09-05 23:00:00, $109.23, SELL, $100,021.28, $0.00, $0.00, $21.28
2018-09-06 23:00:00, $107.61, HOLD, $100,021.28, $0.00, $0.00, $21.28
