Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $140.05, BUY, $99,859.95, $140.05, $0.00, $0.00
2019-05-29 23:00:00, $140.22, HOLD, $99,859.95, $140.05, $0.00, $0.00
2019-05-30 23:00:00, $140.67, BUY, $99,719.28, $280.72, $0.00, $0.00
2019-06-02 23:00:00, $142.14, HOLD, $99,719.28, $280.72, $0.00, $0.00
2019-06-03 23:00:00, $143.65, BUY, $99,575.63, $424.37, $0.00, $0.00
2019-06-04 23:00:00, $145.20, HOLD, $99,575.63, $424.37, $0.00, $0.00
2019-06-05 23:00:00, $146.06, BUY, $99,429.57, $570.43, $0.00, $0.00
2019-06-06 23:00:00, $146.33, HOLD, $99,429.57, $570.43, $0.00, $0.00
2019-06-09 23:00:00, $146.15, SELL, $100,014.17, $0.00, $0.09, $14.17
2019-06-10 23:00:00, $145.62, HOLD, $100,014.17, $0.00, $0.00, $14.17
2019-06-11 23:00:00, $145.74, BUY, $99,868.44, $145.74, $0.00, $14.17
2019-06-12 23:00:00, $145.42, SELL, $100,013.86, $0.00, $-0.32, $13.86
2019-06-13 23:00:00, $145.15, HOLD, $100,013.86, $0.00, $0.00, $13.86
2019-06-16 23:00:00, $144.98, SELL, $100,013.86, $0.00, $0.00, $13.86
2019-06-17 23:00:00, $145.29, BUY, $99,868.56, $145.29, $0.00, $13.86
2019-06-18 23:00:00, $145.46, HOLD, $99,868.56, $145.29, $0.00, $13.86
2019-06-19 23:00:00, $145.47, BUY, $99,723.09, $290.76, $0.00, $13.86
2019-06-20 23:00:00, $144.95, SELL, $100,012.99, $0.00, $-0.52, $12.99
2019-06-23 23:00:00, $144.16, HOLD, $100,012.99, $0.00, $0.00, $12.99
2019-06-24 23:00:00, $143.89, SELL, $100,012.99, $0.00, $0.00, $12.99
2019-06-25 23:00:00, $144.57, BUY, $99,868.42, $144.57, $0.00, $12.99
2019-06-26 23:00:00, $146.22, HOLD, $99,868.42, $144.57, $0.00, $12.99
2019-06-27 23:00:00, $147.55, BUY, $99,720.87, $292.13, $0.00, $12.99
2019-06-30 23:00:00, $148.94, HOLD, $99,720.87, $292.13, $0.00, $12.99
2019-07-01 23:00:00, $149.38, BUY, $99,571.49, $441.51, $0.00, $12.99
2019-07-02 23:00:00, $149.47, HOLD, $99,571.49, $441.51, $0.00, $12.99
2019-07-04 23:00:00, $149.13, SELL, $100,018.89, $0.00, $-0.25, $18.89
2019-07-07 23:00:00, $149.50, BUY, $99,869.38, $149.50, $0.00, $18.89
2019-07-08 23:00:00, $150.27, HOLD, $99,869.38, $149.50, $0.00, $18.89
2019-07-09 23:00:00, $151.00, BUY, $99,718.38, $300.50, $0.00, $18.89
2019-07-10 23:00:00, $151.74, HOLD, $99,718.38, $300.50, $0.00, $18.89
2019-07-11 23:00:00, $151.93, BUY, $99,566.45, $452.43, $0.00, $18.89
2019-07-14 23:00:00, $151.82, SELL, $100,021.90, $0.00, $-0.11, $21.90
2019-07-15 23:00:00, $152.05, BUY, $99,869.85, $152.05, $0.00, $21.90
2019-07-16 23:00:00, $151.94, SELL, $100,021.79, $0.00, $-0.12, $21.79
2019-07-17 23:00:00, $151.62, HOLD, $100,021.79, $0.00, $0.00, $21.79
2019-07-18 23:00:00, $150.91, SELL, $100,021.79, $0.00, $0.00, $21.79
2019-07-21 23:00:00, $150.67, HOLD, $100,021.79, $0.00, $0.00, $21.79
2019-07-22 23:00:00, $150.59, SELL, $100,021.79, $0.00, $0.00, $21.79
2019-07-23 23:00:00, $151.15, BUY, $99,870.63, $151.15, $0.00, $21.79
2019-07-24 23:00:00, $151.78, HOLD, $99,870.63, $151.15, $0.00, $21.79
2019-07-25 23:00:00, $152.38, BUY, $99,718.25, $303.53, $0.00, $21.79
2019-07-28 23:00:00, $152.13, SELL, $100,022.51, $0.00, $-0.25, $22.51
2019-07-29 23:00:00, $152.24, BUY, $99,870.27, $152.24, $0.00, $22.51
2019-07-30 23:00:00, $152.63, HOLD, $99,870.27, $152.24, $0.00, $22.51
2019-07-31 23:00:00, $151.86, SELL, $100,022.12, $0.00, $-0.38, $22.12
2019-08-01 23:00:00, $151.66, HOLD, $100,022.12, $0.00, $0.00, $22.12
2019-08-04 23:00:00, $151.89, BUY, $99,870.23, $151.89, $0.00, $22.12
2019-08-05 23:00:00, $154.14, HOLD, $99,870.23, $151.89, $0.00, $22.12
2019-08-06 23:00:00, $155.52, BUY, $99,714.71, $307.41, $0.00, $22.12
2019-08-07 23:00:00, $156.04, HOLD, $99,714.71, $307.41, $0.00, $22.12
2019-08-08 23:00:00, $155.95, SELL, $100,026.62, $0.00, $0.43, $26.62
2019-08-11 23:00:00, $154.83, HOLD, $100,026.62, $0.00, $0.00, $26.62
2019-08-12 23:00:00, $154.71, SELL, $100,026.62, $0.00, $0.00, $26.62
2019-08-13 23:00:00, $155.03, BUY, $99,871.59, $155.03, $0.00, $26.62
2019-08-14 23:00:00, $156.76, HOLD, $99,871.59, $155.03, $0.00, $26.62
2019-08-15 23:00:00, $157.80, BUY, $99,713.79, $312.83, $0.00, $26.62
2019-08-18 23:00:00, $158.41, HOLD, $99,713.79, $312.83, $0.00, $26.62
2019-08-19 23:00:00, $158.32, SELL, $100,030.43, $0.00, $0.52, $30.43
2019-08-20 23:00:00, $157.17, HOLD, $100,030.43, $0.00, $0.00, $30.43
2019-08-21 23:00:00, $156.72, SELL, $100,030.43, $0.00, $0.00, $30.43
2019-08-22 23:00:00, $156.98, BUY, $99,873.45, $156.98, $0.00, $30.43
2019-08-25 23:00:00, $158.65, HOLD, $99,873.45, $156.98, $0.00, $30.43
2019-08-26 23:00:00, $159.79, BUY, $99,713.66, $316.77, $0.00, $30.43
2019-08-27 23:00:00, $160.68, HOLD, $99,713.66, $316.77, $0.00, $30.43
2019-08-28 23:00:00, $161.34, BUY, $99,552.32, $478.11, $0.00, $30.43
2019-08-29 23:00:00, $162.02, HOLD, $99,552.32, $478.11, $0.00, $30.43
2019-09-02 23:00:00, $162.70, BUY, $99,389.62, $640.81, $0.00, $30.43
2019-09-03 23:00:00, $163.66, HOLD, $99,389.62, $640.81, $0.00, $30.43
2019-09-04 23:00:00, $162.79, SELL, $100,040.78, $0.00, $0.09, $40.78
2019-09-05 23:00:00, $159.98, HOLD, $100,040.78, $0.00, $0.00, $40.78
2019-09-08 23:00:00, $156.81, SELL, $100,040.78, $0.00, $0.00, $40.78
2019-09-09 23:00:00, $155.87, HOLD, $100,040.78, $0.00, $0.00, $40.78
2019-09-10 23:00:00, $156.09, BUY, $99,884.69, $156.09, $0.00, $40.78
2019-09-11 23:00:00, $156.57, HOLD, $99,884.69, $156.09, $0.00, $40.78
2019-09-12 23:00:00, $156.99, BUY, $99,727.71, $313.07, $0.00, $40.78
2019-09-15 23:00:00, $158.17, HOLD, $99,727.71, $313.07, $0.00, $40.78
2019-09-16 23:00:00, $158.89, BUY, $99,568.82, $471.96, $0.00, $40.78
2019-09-17 23:00:00, $158.81, SELL, $100,045.24, $0.00, $-0.08, $45.24
2019-09-18 23:00:00, $158.15, HOLD, $100,045.24, $0.00, $0.00, $45.24
2019-09-19 23:00:00, $157.75, SELL, $100,045.24, $0.00, $0.00, $45.24
2019-09-22 23:00:00, $157.52, HOLD, $100,045.24, $0.00, $0.00, $45.24
2019-09-23 23:00:00, $158.19, BUY, $99,887.05, $158.19, $0.00, $45.24
2019-09-24 23:00:00, $157.57, SELL, $100,044.62, $0.00, $-0.62, $44.62
2019-09-25 23:00:00, $157.68, BUY, $99,886.94, $157.68, $0.00, $44.62
2019-09-26 23:00:00, $156.70, SELL, $100,043.64, $0.00, $-0.98, $43.64
2019-09-29 23:00:00, $155.95, HOLD, $100,043.64, $0.00, $0.00, $43.64
2019-09-30 23:00:00, $154.67, SELL, $100,043.64, $0.00, $0.00, $43.64
2019-10-01 23:00:00, $155.04, BUY, $99,888.60, $155.04, $0.00, $43.64
2019-10-02 23:00:00, $156.32, HOLD, $99,888.60, $155.04, $0.00, $43.64
2019-10-03 23:00:00, $156.54, BUY, $99,732.06, $311.58, $0.00, $43.64
2019-10-06 23:00:00, $156.41, SELL, $100,044.87, $0.00, $-0.13, $44.87
2019-10-07 23:00:00, $156.64, BUY, $99,888.23, $156.64, $0.00, $44.87
2019-10-08 23:00:00, $157.34, HOLD, $99,888.23, $156.64, $0.00, $44.87
2019-10-09 23:00:00, $156.76, SELL, $100,044.99, $0.00, $0.12, $44.99
2019-10-10 23:00:00, $156.13, HOLD, $100,044.99, $0.00, $0.00, $44.99
2019-10-13 23:00:00, $155.65, SELL, $100,044.99, $0.00, $0.00, $44.99
2019-10-14 23:00:00, $155.59, HOLD, $100,044.99, $0.00, $0.00, $44.99
2019-10-15 23:00:00, $155.07, SELL, $100,044.99, $0.00, $0.00, $44.99
2019-10-16 23:00:00, $154.35, HOLD, $100,044.99, $0.00, $0.00, $44.99
2019-10-17 23:00:00, $152.95, SELL, $100,044.99, $0.00, $0.00, $44.99
2019-10-20 23:00:00, $151.02, HOLD, $100,044.99, $0.00, $0.00, $44.99
2019-10-21 23:00:00, $149.79, SELL, $100,044.99, $0.00, $0.00, $44.99
2019-10-22 23:00:00, $149.08, HOLD, $100,044.99, $0.00, $0.00, $44.99
2019-10-23 23:00:00, $149.06, SELL, $100,044.99, $0.00, $0.00, $44.99
2019-10-24 23:00:00, $149.14, BUY, $99,895.85, $149.14, $0.00, $44.99
2019-10-27 23:00:00, $148.74, SELL, $100,044.59, $0.00, $-0.40, $44.59
2019-10-28 23:00:00, $147.46, HOLD, $100,044.59, $0.00, $0.00, $44.59
2019-10-29 23:00:00, $145.89, SELL, $100,044.59, $0.00, $0.00, $44.59
2019-10-30 23:00:00, $143.41, HOLD, $100,044.59, $0.00, $0.00, $44.59
2019-10-31 23:00:00, $141.43, SELL, $100,044.59, $0.00, $0.00, $44.59
2019-11-03 23:00:00, $139.92, HOLD, $100,044.59, $0.00, $0.00, $44.59
2019-11-04 23:00:00, $139.77, SELL, $100,044.59, $0.00, $0.00, $44.59
2019-11-05 23:00:00, $139.11, HOLD, $100,044.59, $0.00, $0.00, $44.59
2019-11-06 23:00:00, $137.97, SELL, $100,044.59, $0.00, $0.00, $44.59
2019-11-07 23:00:00, $137.40, HOLD, $100,044.59, $0.00, $0.00, $44.59
2019-11-10 23:00:00, $138.42, BUY, $99,906.17, $138.42, $0.00, $44.59
2019-11-11 23:00:00, $139.66, HOLD, $99,906.17, $138.42, $0.00, $44.59
2019-11-12 23:00:00, $140.69, BUY, $99,765.48, $279.11, $0.00, $44.59
2019-11-13 23:00:00, $141.46, HOLD, $99,765.48, $279.11, $0.00, $44.59
2019-11-14 23:00:00, $142.42, BUY, $99,623.06, $421.53, $0.00, $44.59
2019-11-17 23:00:00, $143.48, HOLD, $99,623.06, $421.53, $0.00, $44.59
2019-11-18 23:00:00, $144.26, BUY, $99,478.79, $565.80, $0.00, $44.59
2019-11-19 23:00:00, $144.93, HOLD, $99,478.79, $565.80, $0.00, $44.59
2019-11-20 23:00:00, $145.28, BUY, $99,333.51, $711.08, $0.00, $44.59
2019-11-21 23:00:00, $146.38, HOLD, $99,333.51, $711.08, $0.00, $44.59
2019-11-24 23:00:00, $147.22, BUY, $99,186.29, $858.30, $0.00, $44.59
2019-11-25 23:00:00, $147.93, HOLD, $99,186.29, $858.30, $0.00, $44.59
