Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-20 13:25:00, $223.08, BUY, $99,776.92, $223.08, $0.00, $0.00
2021-05-20 13:27:00, $223.08, SELL, $100,000.00, $0.00, $-0.00, $-0.00
2021-05-20 13:31:00, $223.08, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-20 13:35:00, $223.06, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-20 13:36:00, $223.05, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-20 13:40:00, $223.06, BUY, $99,776.94, $223.06, $0.00, $-0.00
2021-05-20 13:43:00, $222.97, SELL, $99,999.91, $0.00, $-0.09, $-0.09
2021-05-20 13:45:00, $222.85, HOLD, $99,999.91, $0.00, $0.00, $-0.09
2021-05-20 13:47:00, $222.79, SELL, $99,999.91, $0.00, $0.00, $-0.09
2021-05-20 13:52:00, $222.76, HOLD, $99,999.91, $0.00, $0.00, $-0.09
2021-05-20 13:54:00, $222.71, SELL, $99,999.91, $0.00, $0.00, $-0.09
2021-05-20 14:01:00, $222.69, HOLD, $99,999.91, $0.00, $0.00, $-0.09
2021-05-20 14:07:00, $222.77, BUY, $99,777.14, $222.77, $0.00, $-0.09
2021-05-20 14:11:00, $222.83, HOLD, $99,777.14, $222.77, $0.00, $-0.09
2021-05-20 14:12:00, $222.88, BUY, $99,554.26, $445.64, $0.00, $-0.09
2021-05-20 14:16:00, $222.86, SELL, $99,999.98, $0.00, $-0.02, $-0.02
2021-05-20 14:17:00, $222.89, BUY, $99,777.09, $222.89, $0.00, $-0.02
2021-05-20 14:20:00, $222.87, SELL, $99,999.96, $0.00, $-0.02, $-0.04
2021-05-20 14:21:00, $222.90, BUY, $99,777.06, $222.90, $0.00, $-0.04
2021-05-20 14:22:00, $222.98, HOLD, $99,777.06, $222.90, $0.00, $-0.04
2021-05-20 14:23:00, $223.06, BUY, $99,554.00, $445.96, $0.00, $-0.04
2021-05-20 14:25:00, $223.11, HOLD, $99,554.00, $445.96, $0.00, $-0.04
2021-05-20 14:27:00, $223.13, BUY, $99,330.86, $669.10, $0.00, $-0.04
2021-05-20 14:28:00, $223.17, HOLD, $99,330.86, $669.10, $0.00, $-0.04
2021-05-20 14:29:00, $223.21, BUY, $99,107.65, $892.31, $0.00, $-0.04
2021-05-20 14:30:00, $223.21, SELL, $100,000.47, $0.00, $-0.01, $0.47
2021-05-20 14:31:00, $223.19, HOLD, $100,000.47, $0.00, $0.00, $0.47
2021-05-20 14:32:00, $223.15, SELL, $100,000.47, $0.00, $0.00, $0.47
2021-05-20 14:33:00, $223.16, BUY, $99,777.31, $223.16, $0.00, $0.47
2021-05-20 14:34:00, $223.17, HOLD, $99,777.31, $223.16, $0.00, $0.47
2021-05-20 14:35:00, $223.19, BUY, $99,554.12, $446.35, $0.00, $0.47
2021-05-20 14:36:00, $223.19, HOLD, $99,554.12, $446.35, $0.00, $0.47
2021-05-20 14:38:00, $223.19, SELL, $100,000.49, $0.00, $0.00, $0.49
2021-05-20 14:39:00, $223.11, HOLD, $100,000.49, $0.00, $0.00, $0.49
2021-05-20 14:40:00, $222.99, SELL, $100,000.49, $0.00, $0.00, $0.49
2021-05-20 14:42:00, $222.92, HOLD, $100,000.49, $0.00, $0.00, $0.49
2021-05-20 14:43:00, $222.90, SELL, $100,000.49, $0.00, $0.00, $0.49
2021-05-20 14:45:00, $222.97, BUY, $99,777.52, $222.97, $0.00, $0.49
2021-05-20 14:46:00, $223.00, HOLD, $99,777.52, $222.97, $0.00, $0.49
2021-05-20 14:47:00, $223.03, BUY, $99,554.49, $446.00, $0.00, $0.49
2021-05-20 14:48:00, $222.93, SELL, $100,000.35, $0.00, $-0.10, $0.35
2021-05-20 14:49:00, $222.84, HOLD, $100,000.35, $0.00, $0.00, $0.35
2021-05-20 14:50:00, $222.80, SELL, $100,000.35, $0.00, $0.00, $0.35
2021-05-20 14:51:00, $222.88, BUY, $99,777.47, $222.88, $0.00, $0.35
2021-05-20 14:52:00, $222.96, HOLD, $99,777.47, $222.88, $0.00, $0.35
2021-05-20 14:55:00, $223.00, BUY, $99,554.47, $445.88, $0.00, $0.35
2021-05-20 14:56:00, $222.96, SELL, $100,000.39, $0.00, $-0.04, $0.39
2021-05-20 14:57:00, $223.19, BUY, $99,777.20, $223.19, $0.00, $0.39
2021-05-20 14:59:00, $223.37, HOLD, $99,777.20, $223.19, $0.00, $0.39
2021-05-21 08:30:00, $223.12, SELL, $100,000.33, $0.00, $-0.06, $0.33
2021-05-21 08:31:00, $222.62, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 08:48:00, $222.11, SELL, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:03:00, $221.98, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:07:00, $221.91, SELL, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:08:00, $221.93, BUY, $99,778.39, $221.93, $0.00, $0.33
2021-05-21 09:10:00, $222.00, HOLD, $99,778.39, $221.93, $0.00, $0.33
2021-05-21 09:11:00, $222.06, BUY, $99,556.34, $443.99, $0.00, $0.33
2021-05-21 09:12:00, $222.00, SELL, $100,000.33, $0.00, $-0.06, $0.33
2021-05-21 09:20:00, $221.98, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:22:00, $221.87, SELL, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:24:00, $221.78, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:26:00, $221.70, SELL, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:29:00, $221.67, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:30:00, $221.58, SELL, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:31:00, $221.47, HOLD, $100,000.33, $0.00, $0.00, $0.33
2021-05-21 09:37:00, $221.30, SELL, $100,000.33, $0.00, $0.00, $0.33
