Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $131.35, BUY, $99,868.65, $131.35, $0.00, $0.00
2021-02-28 23:00:00, $129.08, SELL, $99,997.73, $0.00, $-2.27, $-2.27
2021-03-01 23:00:00, $123.52, HOLD, $99,997.73, $0.00, $0.00, $-2.27
2021-03-02 23:00:00, $120.19, SELL, $99,997.73, $0.00, $0.00, $-2.27
2021-03-03 23:00:00, $116.38, HOLD, $99,997.73, $0.00, $0.00, $-2.27
2021-03-04 23:00:00, $117.43, BUY, $99,880.30, $117.43, $0.00, $-2.27
2021-03-07 23:00:00, $117.01, SELL, $99,997.31, $0.00, $-0.43, $-2.69
2021-03-08 23:00:00, $121.69, BUY, $99,875.62, $121.69, $0.00, $-2.69
2021-03-09 23:00:00, $123.42, HOLD, $99,875.62, $121.69, $0.00, $-2.69
2021-03-10 23:00:00, $126.75, BUY, $99,748.87, $248.43, $0.00, $-2.69
2021-03-11 23:00:00, $127.76, HOLD, $99,748.87, $248.43, $0.00, $-2.69
2021-03-14 23:00:00, $129.08, BUY, $99,619.79, $377.51, $0.00, $-2.69
2021-03-15 23:00:00, $126.94, SELL, $100,000.62, $0.00, $-2.14, $0.62
2021-03-16 23:00:00, $124.82, HOLD, $100,000.62, $0.00, $0.00, $0.62
2021-03-17 23:00:00, $123.47, SELL, $100,000.62, $0.00, $0.00, $0.62
2021-03-18 23:00:00, $123.43, HOLD, $100,000.62, $0.00, $0.00, $0.62
2021-03-21 23:00:00, $122.48, SELL, $100,000.62, $0.00, $0.00, $0.62
2021-03-22 23:00:00, $120.70, HOLD, $100,000.62, $0.00, $0.00, $0.62
2021-03-23 23:00:00, $121.04, BUY, $99,879.58, $121.04, $0.00, $0.62
2021-03-24 23:00:00, $121.83, HOLD, $99,879.58, $121.04, $0.00, $0.62
2021-03-25 23:00:00, $121.92, BUY, $99,757.66, $242.96, $0.00, $0.62
2021-03-28 23:00:00, $122.17, HOLD, $99,757.66, $242.96, $0.00, $0.62
2021-03-29 23:00:00, $124.73, BUY, $99,632.94, $367.69, $0.00, $0.62
2021-03-30 23:00:00, $128.19, HOLD, $99,632.94, $367.69, $0.00, $0.62
2021-03-31 23:00:00, $130.37, BUY, $99,502.56, $498.06, $0.00, $0.62
2021-04-04 23:00:00, $130.92, HOLD, $99,502.56, $498.06, $0.00, $0.62
2021-04-05 23:00:00, $131.63, BUY, $99,370.93, $629.69, $0.00, $0.62
2021-04-06 23:00:00, $131.41, SELL, $100,027.98, $0.00, $-0.22, $27.98
2021-04-07 23:00:00, $128.95, HOLD, $100,027.98, $0.00, $0.00, $27.98
2021-04-08 23:00:00, $126.74, SELL, $100,027.98, $0.00, $0.00, $27.98
2021-04-11 23:00:00, $124.67, HOLD, $100,027.98, $0.00, $0.00, $27.98
2021-04-12 23:00:00, $126.63, BUY, $99,901.36, $126.63, $0.00, $27.98
2021-04-13 23:00:00, $127.42, HOLD, $99,901.36, $126.63, $0.00, $27.98
2021-04-14 23:00:00, $128.54, BUY, $99,772.82, $255.16, $0.00, $27.98
2021-04-15 23:00:00, $126.37, SELL, $100,025.57, $0.00, $-2.16, $25.57
2021-04-18 23:00:00, $125.85, HOLD, $100,025.57, $0.00, $0.00, $25.57
2021-04-19 23:00:00, $124.57, SELL, $100,025.57, $0.00, $0.00, $25.57
2021-04-20 23:00:00, $126.60, BUY, $99,898.97, $126.60, $0.00, $25.57
2021-04-21 23:00:00, $128.92, HOLD, $99,898.97, $126.60, $0.00, $25.57
2021-04-22 23:00:00, $132.42, BUY, $99,766.55, $259.01, $0.00, $25.57
2021-04-25 23:00:00, $133.03, HOLD, $99,766.55, $259.01, $0.00, $25.57
2021-04-26 23:00:00, $132.54, SELL, $100,031.63, $0.00, $0.12, $31.63
2021-04-27 23:00:00, $130.66, HOLD, $100,031.63, $0.00, $0.00, $31.63
2021-04-28 23:00:00, $127.98, SELL, $100,031.63, $0.00, $0.00, $31.63
2021-04-29 23:00:00, $124.89, HOLD, $100,031.63, $0.00, $0.00, $31.63
2021-05-02 23:00:00, $122.92, SELL, $100,031.63, $0.00, $0.00, $31.63
2021-05-03 23:00:00, $122.47, HOLD, $100,031.63, $0.00, $0.00, $31.63
2021-05-04 23:00:00, $122.87, BUY, $99,908.76, $122.87, $0.00, $31.63
2021-05-05 23:00:00, $122.04, SELL, $100,030.81, $0.00, $-0.83, $30.81
2021-05-06 23:00:00, $121.74, HOLD, $100,030.81, $0.00, $0.00, $30.81
2021-05-09 23:00:00, $119.22, SELL, $100,030.81, $0.00, $0.00, $30.81
2021-05-10 23:00:00, $117.57, HOLD, $100,030.81, $0.00, $0.00, $30.81
2021-05-11 23:00:00, $116.49, SELL, $100,030.81, $0.00, $0.00, $30.81
2021-05-12 23:00:00, $116.92, BUY, $99,913.88, $116.92, $0.00, $30.81
2021-05-13 23:00:00, $117.99, HOLD, $99,913.88, $116.92, $0.00, $30.81
2021-05-16 23:00:00, $118.92, BUY, $99,794.97, $235.84, $0.00, $30.81
2021-05-17 23:00:00, $120.86, HOLD, $99,794.97, $235.84, $0.00, $30.81
2021-05-18 23:00:00, $122.54, BUY, $99,672.42, $358.38, $0.00, $30.81
2021-05-19 23:00:00, $123.55, HOLD, $99,672.42, $358.38, $0.00, $30.81
2021-05-20 23:00:00, $123.60, BUY, $99,548.83, $481.98, $0.00, $30.81
