Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 09:35:00, $287.90, BUY, $99,712.10, $287.90, $0.00, $0.00
2021-05-12 09:40:00, $287.35, SELL, $99,999.45, $0.00, $-0.55, $-0.55
2021-05-12 09:45:00, $286.82, HOLD, $99,999.45, $0.00, $0.00, $-0.55
2021-05-12 09:50:00, $285.98, SELL, $99,999.45, $0.00, $0.00, $-0.55
2021-05-12 09:55:00, $286.24, BUY, $99,713.21, $286.24, $0.00, $-0.55
2021-05-12 10:00:00, $287.22, HOLD, $99,713.21, $286.24, $0.00, $-0.55
2021-05-12 10:05:00, $288.52, BUY, $99,424.69, $574.76, $0.00, $-0.55
2021-05-12 10:10:00, $288.54, HOLD, $99,424.69, $574.76, $0.00, $-0.55
2021-05-12 10:15:00, $287.88, SELL, $100,000.45, $0.00, $-0.64, $0.45
2021-05-12 10:20:00, $286.82, HOLD, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:25:00, $286.19, SELL, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:30:00, $286.02, HOLD, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:35:00, $285.89, SELL, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:40:00, $285.37, HOLD, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:45:00, $284.81, SELL, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:50:00, $284.42, HOLD, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 10:55:00, $284.18, SELL, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 11:00:00, $283.66, HOLD, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 11:05:00, $283.20, SELL, $100,000.45, $0.00, $0.00, $0.45
2021-05-12 11:10:00, $283.44, BUY, $99,717.01, $283.44, $0.00, $0.45
2021-05-12 11:15:00, $284.07, HOLD, $99,717.01, $283.44, $0.00, $0.45
2021-05-12 11:20:00, $285.18, BUY, $99,431.83, $568.62, $0.00, $0.45
2021-05-12 11:25:00, $285.67, HOLD, $99,431.83, $568.62, $0.00, $0.45
2021-05-12 11:30:00, $286.33, BUY, $99,145.50, $854.95, $0.00, $0.45
2021-05-12 11:35:00, $286.63, HOLD, $99,145.50, $854.95, $0.00, $0.45
2021-05-12 11:40:00, $287.24, BUY, $98,858.26, $1,142.19, $0.00, $0.45
2021-05-12 11:45:00, $287.88, HOLD, $98,858.26, $1,142.19, $0.00, $0.45
2021-05-12 11:50:00, $288.54, BUY, $98,569.73, $1,430.73, $0.00, $0.45
2021-05-12 11:55:00, $289.22, HOLD, $98,569.73, $1,430.73, $0.00, $0.45
2021-05-12 12:00:00, $289.38, BUY, $98,280.35, $1,720.10, $0.00, $0.45
2021-05-12 12:05:00, $289.05, SELL, $100,014.63, $0.00, $-0.33, $14.63
2021-05-12 12:10:00, $288.64, HOLD, $100,014.63, $0.00, $0.00, $14.63
2021-05-12 12:15:00, $288.59, SELL, $100,014.63, $0.00, $0.00, $14.63
2021-05-12 12:20:00, $288.55, HOLD, $100,014.63, $0.00, $0.00, $14.63
2021-05-12 12:25:00, $288.57, BUY, $99,726.06, $288.57, $0.00, $14.63
2021-05-12 12:30:00, $288.66, HOLD, $99,726.06, $288.57, $0.00, $14.63
2021-05-12 12:35:00, $288.73, BUY, $99,437.33, $577.30, $0.00, $14.63
2021-05-12 12:40:00, $288.87, HOLD, $99,437.33, $577.30, $0.00, $14.63
2021-05-12 12:45:00, $288.61, SELL, $100,014.54, $0.00, $-0.13, $14.54
2021-05-12 12:50:00, $288.81, BUY, $99,725.72, $288.81, $0.00, $14.54
2021-05-12 12:55:00, $288.81, BUY, $99,436.91, $577.63, $0.00, $14.54
2021-05-12 13:00:00, $288.77, SELL, $100,014.45, $0.00, $-0.04, $14.45
2021-05-12 13:05:00, $288.57, HOLD, $100,014.45, $0.00, $0.00, $14.45
2021-05-12 13:10:00, $288.64, BUY, $99,725.81, $288.64, $0.00, $14.45
2021-05-12 13:15:00, $289.02, HOLD, $99,725.81, $288.64, $0.00, $14.45
2021-05-12 13:20:00, $289.21, BUY, $99,436.60, $577.85, $0.00, $14.45
2021-05-12 13:25:00, $289.44, HOLD, $99,436.60, $577.85, $0.00, $14.45
2021-05-12 13:30:00, $289.66, BUY, $99,146.94, $867.51, $0.00, $14.45
2021-05-12 13:35:00, $290.15, HOLD, $99,146.94, $867.51, $0.00, $14.45
2021-05-12 13:40:00, $290.27, BUY, $98,856.68, $1,157.78, $0.00, $14.45
2021-05-12 13:45:00, $289.86, SELL, $100,016.10, $0.00, $-0.41, $16.10
2021-05-12 13:50:00, $289.15, HOLD, $100,016.10, $0.00, $0.00, $16.10
2021-05-12 13:55:00, $288.66, SELL, $100,016.10, $0.00, $0.00, $16.10
2021-05-12 14:00:00, $288.66, HOLD, $100,016.10, $0.00, $0.00, $16.10
2021-05-12 14:05:00, $288.84, BUY, $99,727.27, $288.84, $0.00, $16.10
2021-05-12 14:10:00, $289.01, HOLD, $99,727.27, $288.84, $0.00, $16.10
2021-05-12 14:15:00, $289.30, BUY, $99,437.97, $578.13, $0.00, $16.10
2021-05-12 14:20:00, $289.93, HOLD, $99,437.97, $578.13, $0.00, $16.10
2021-05-12 14:25:00, $289.94, BUY, $99,148.03, $868.07, $0.00, $16.10
2021-05-12 14:30:00, $289.90, SELL, $100,017.73, $0.00, $-0.04, $17.73
2021-05-12 14:35:00, $289.67, HOLD, $100,017.73, $0.00, $0.00, $17.73
2021-05-12 14:40:00, $289.48, SELL, $100,017.73, $0.00, $0.00, $17.73
2021-05-12 14:45:00, $289.53, BUY, $99,728.20, $289.53, $0.00, $17.73
2021-05-12 14:50:00, $291.13, HOLD, $99,728.20, $289.53, $0.00, $17.73
2021-05-12 14:55:00, $292.40, BUY, $99,435.80, $581.93, $0.00, $17.73
2021-05-13 08:30:00, $292.86, HOLD, $99,435.80, $581.93, $0.00, $17.73
2021-05-13 08:35:00, $290.98, SELL, $100,017.75, $0.00, $-1.42, $17.75
2021-05-13 08:40:00, $290.44, HOLD, $100,017.75, $0.00, $0.00, $17.75
2021-05-13 08:45:00, $291.30, BUY, $99,726.45, $291.30, $0.00, $17.75
2021-05-13 08:50:00, $293.57, HOLD, $99,726.45, $291.30, $0.00, $17.75
2021-05-13 08:55:00, $295.15, BUY, $99,431.29, $586.46, $0.00, $17.75
2021-05-13 09:00:00, $295.70, HOLD, $99,431.29, $586.46, $0.00, $17.75
2021-05-13 09:05:00, $295.07, SELL, $100,021.44, $0.00, $-0.08, $21.44
2021-05-13 09:10:00, $294.77, HOLD, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:15:00, $294.21, SELL, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:20:00, $293.89, HOLD, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:25:00, $293.17, SELL, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:30:00, $292.61, HOLD, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:35:00, $292.31, SELL, $100,021.44, $0.00, $0.00, $21.44
2021-05-13 09:40:00, $292.37, BUY, $99,729.06, $292.37, $0.00, $21.44
2021-05-13 09:45:00, $292.40, HOLD, $99,729.06, $292.37, $0.00, $21.44
2021-05-13 09:50:00, $291.89, SELL, $100,020.96, $0.00, $-0.48, $20.96
2021-05-13 09:55:00, $291.14, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:00:00, $290.32, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:05:00, $289.70, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:10:00, $288.87, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:15:00, $287.96, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:20:00, $287.41, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:25:00, $287.19, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:30:00, $286.33, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:35:00, $285.26, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:40:00, $283.49, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:45:00, $282.73, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:50:00, $282.50, SELL, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 10:55:00, $282.39, HOLD, $100,020.96, $0.00, $0.00, $20.96
2021-05-13 11:00:00, $282.81, BUY, $99,738.15, $282.81, $0.00, $20.96
2021-05-13 11:05:00, $282.65, SELL, $100,020.80, $0.00, $-0.16, $20.80
2021-05-13 11:10:00, $282.51, HOLD, $100,020.80, $0.00, $0.00, $20.80
2021-05-13 11:15:00, $282.20, SELL, $100,020.80, $0.00, $0.00, $20.80
