Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $78.66, BUY, $99,921.34, $78.66, $0.00, $0.00
2019-05-29 23:00:00, $78.65, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2019-05-30 23:00:00, $78.07, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2019-06-02 23:00:00, $77.47, SELL, $99,999.99, $0.00, $0.00, $-0.01
2019-06-03 23:00:00, $78.68, BUY, $99,921.31, $78.68, $0.00, $-0.01
2019-06-04 23:00:00, $83.81, HOLD, $99,921.31, $78.68, $0.00, $-0.01
2019-06-05 23:00:00, $91.86, BUY, $99,829.45, $170.55, $0.00, $-0.01
2019-06-06 23:00:00, $96.98, HOLD, $99,829.45, $170.55, $0.00, $-0.01
2019-06-09 23:00:00, $99.89, BUY, $99,729.56, $270.44, $0.00, $-0.01
2019-06-10 23:00:00, $99.46, SELL, $100,027.95, $0.00, $-0.43, $27.95
2019-06-11 23:00:00, $101.30, BUY, $99,926.65, $101.30, $0.00, $27.95
2019-06-12 23:00:00, $99.75, SELL, $100,026.40, $0.00, $-1.55, $26.40
2019-06-13 23:00:00, $99.33, HOLD, $100,026.40, $0.00, $0.00, $26.40
2019-06-16 23:00:00, $100.02, BUY, $99,926.38, $100.02, $0.00, $26.40
2019-06-17 23:00:00, $101.41, HOLD, $99,926.38, $100.02, $0.00, $26.40
2019-06-18 23:00:00, $101.70, BUY, $99,824.68, $201.72, $0.00, $26.40
2019-06-19 23:00:00, $97.39, SELL, $100,019.46, $0.00, $-4.31, $19.46
2019-06-20 23:00:00, $91.64, HOLD, $100,019.46, $0.00, $0.00, $19.46
2019-06-23 23:00:00, $86.91, SELL, $100,019.46, $0.00, $0.00, $19.46
2019-06-24 23:00:00, $87.20, BUY, $99,932.26, $87.20, $0.00, $19.46
2019-06-25 23:00:00, $88.45, HOLD, $99,932.26, $87.20, $0.00, $19.46
2019-06-26 23:00:00, $88.64, BUY, $99,843.63, $175.83, $0.00, $19.46
2019-06-27 23:00:00, $86.91, SELL, $100,017.45, $0.00, $-1.72, $17.45
2019-06-30 23:00:00, $87.45, BUY, $99,930.00, $87.45, $0.00, $17.45
2019-07-01 23:00:00, $89.12, HOLD, $99,930.00, $87.45, $0.00, $17.45
2019-07-02 23:00:00, $91.01, BUY, $99,838.99, $178.46, $0.00, $17.45
2019-07-04 23:00:00, $91.18, HOLD, $99,838.99, $178.46, $0.00, $17.45
2019-07-07 23:00:00, $91.41, BUY, $99,747.58, $269.87, $0.00, $17.45
2019-07-08 23:00:00, $91.65, HOLD, $99,747.58, $269.87, $0.00, $17.45
2019-07-09 23:00:00, $92.46, BUY, $99,655.12, $362.33, $0.00, $17.45
2019-07-10 23:00:00, $94.86, HOLD, $99,655.12, $362.33, $0.00, $17.45
2019-07-11 23:00:00, $96.71, BUY, $99,558.41, $459.04, $0.00, $17.45
2019-07-14 23:00:00, $98.83, HOLD, $99,558.41, $459.04, $0.00, $17.45
2019-07-15 23:00:00, $97.28, SELL, $100,044.81, $0.00, $0.57, $44.81
2019-07-16 23:00:00, $96.04, HOLD, $100,044.81, $0.00, $0.00, $44.81
2019-07-17 23:00:00, $95.08, SELL, $100,044.81, $0.00, $0.00, $44.81
2019-07-18 23:00:00, $95.84, BUY, $99,948.97, $95.84, $0.00, $44.81
2019-07-21 23:00:00, $96.71, HOLD, $99,948.97, $95.84, $0.00, $44.81
2019-07-22 23:00:00, $96.88, BUY, $99,852.09, $192.72, $0.00, $44.81
2019-07-23 23:00:00, $98.45, HOLD, $99,852.09, $192.72, $0.00, $44.81
